,text,location,raw_prediction,WER,prediction
35,"Flash floods ripped through Ellicott City, Maryland, on Sunday, toppling buildings and upending cars, as the nearby Patapsco River swelled to a record-breaking level. The devastation comes barely two years after the last flood that ravaged the city.",Ellicott City Maryland Patapsco River,El ##lic ##ott City Maryland Pat ##ap ##sco River,0.2,Ellicott City Maryland Patapsco River city
36,RT @XNSNews: Marylands Ellicott City inundated by flash floods; crews conduct water rescues  #FoxNews,Ellicott City Marylands,Maryland ##s El ##lic ##ott City,0.6666666666666666,Marylands Ellicott City
37,"@FoxNews Hey how about focusing on the 1,500 missing immigrant children who were taken away from their parents, or the over 5,000 deaths in Puerto Rico because of this administration, or the Flash Flood in Elliot City Maryland.",Maryland Puerto Rico,Puerto Rico Elliot Maryland,0.3333333333333333,Elliot Maryland Puerto Rico
38,"Timely info from Sustainable Maryland on the recent floods in Maryland, and why we’d better get proactive in our planning & risk assessment! Township of Monroe Sustainable Jersey Rutgers",Jersey Maryland Township of Monroe,Maryland Maryland Monroe,0.6,Maryland Monroe
39,"UNITED HELP,INCORPORATED McPeeks Helping Hands And Terri Jean McPeek Merrills Pet Rescue 9000 Briarcroft Lane Apt 124 Laurel, Maryland 20708-1363 301-490-3333 United Help, Incorporated, is a 501(c)(3) Tax Status Youth",Maryland,Laurel Maryland,1.0,Laurel Maryland
40,"Flood Warning for parts of #Loudoun: SOME LOCATIONS THAT MAY EXPERIENCE FLOODING INCLUDE LEESBURG, LANSDOWNE, PURCELLVILLE, MIDDLEBURG, OATLANDS, BELMONT, HAMILTON, SAINT LOUIS, PAEONIAN SPRINGS, GLEEDSVILLE, WATERFORD, LUCKETTS, ALDIE, PHILOMONT, LINCOLN AND HUGHESVILLE.",ALDIE BELMONT GLEEDSVILLE HAMILTON HUGHESVILLE LANSDOWNE LEESBURG LINCOLN LUCKETTS Loudoun MIDDLEBURG OATLANDS PAEONIAN SPRINGS PHILOMONT PURCELLVILLE SAINT LOUIS WATERFORD,Lou ##do ##un L ##EE ##SB ##UR ##G LA ##NS ##D ##OW ##NE P ##UR ##CE ##LL ##VI ##LL ##E MI ##D ##D ##LE ##B ##UR ##G O ##AT ##LA ##ND ##S B ##EL ##MO ##NT H ##AM ##IL ##TO ##N SA ##IN ##T L ##O ##UI PA ##E ##ON ##IA ##N,0.4736842105263157,BELMONT HAMILTON LANSDOWNE LEESBURG Loudoun MIDDLEBURG OATLANDS PAEONIAN PURCELLVILLE SAINT LOUI
41,Severe T-storm Warning for Frederick County in Maryland. Damaging winds and flash flooding are the main threats. Get ready Libertytown. #wusa9weather @wusa9 @melissanordwx,Frederick Libertytown Maryland,Frederick County Maryland Liberty ##town,0.3333333333333333,Frederick County Libertytown Maryland
42,"NEW: Flood warning (green box below) issued for southern Prince Georges & western Charles counties in Maryland until 7pm tonight due to heavy rain over the region. Reminder to please DO NOT cross flooded roadways. Turn around, don’t drown. ἲ7⛈",Maryland,Prince Georges Charles Maryland,3.0,Charles Maryland Prince Georges
43,WEATHER ALERT: Flood Warning issued for parts of Prince Georges and Charles counties in Maryland. Flash flooding reported in PG County,Charles Maryland PG County Prince Georges,Prince Georges Charles Maryland,0.3333333333333333,Charles Maryland Prince Georges
44,Flash #flood warning in effect for parts of #Maryland - here’s a view of the heavy rain pounding #Baltimore- @MegWJZ is tracking the system @wjz #WJZ #weatheralert,Baltimore- Maryland,Maryland Baltimore,0.5,Baltimore Maryland
45,"MPD 0261 SE #PENNSYLVANIA, N #DELAWARE INTO #MARYLAND, #DC & CNTRL/E #VIRGINIA FLASH FLOODING POSSIBLE VALID TIL 0510 AM EDT ADDITIONAL FLASH FLOODING WILL BE POSSIBLE OVER THE NEXT FEW HOURS. AN ADDITIONAL 2-4 IN WILL BE POSSIBLE ON TOP OF SATURATED SOILS",DELAWARE MARYLAND PENNSYLVANIA VIRGINIA,P ##EN ##NS ##Y ##L ##VA ##NI ##A DE ##LA ##WA ##RE MA ##R ##Y ##LA ##ND VI ##R ##GI ##NI ##A VA ##L ##ID,0.25,DELAWARE MARYLAND PENNSYLVANIA VALID VIRGINIA
46,FLOODING: #MontgomeryCounty #Maryland I-495 at Route 29 end of the ramp merge lane to 495 flooded causing vehicles to swerve out onto 495 Without merging,I-495 at Route 29 Maryland MontgomeryCounty,Montgomery ##C ##nt ##y Maryland,0.8333333333333334,Maryland
47,"Maryland Department of Transportation (MDOT) State Highway Administration (SHA) reports all eastbound and westbound lanes on US-50 at Kenilworth Avenue (MD-201) in Prince George’s County, MD are closed due to flooding.",Maryland Prince George’s,Maryland Prince George ’ s County MD,2.3333333333333335,MD Maryland Prince George S s s County ’
48,"ELLICOTT CITY, Md. (WJZ)– Last Sunday, heavy down pours caused major flooding in both Howard and Baltimore Counties. Main Street in Ellicott City was slammed by the deluge that led to the death of a Maryland National  via",Baltimore Ellicott City Maryland,##LL ##T Baltimore El ##lic ##ott City Maryland,0.5,Baltimore ELLICOTT CITY Ellicott City Maryland
49,"At 6:46 AM, Williamsport [Washington Co, MD] DEPT OF HIGHWAYS reports FLOOD. MARYLAND ROUTE 68 FLOODED AND CLOSED DUE TO BACKWATER FLOODING OF CONOCOCHEAGUE CREEK JUST UPSTREAM OF THE POTOMAC RIVER.",CONOCOCHEAGUE CREEK MARYLAND POTOMAC RIVER ROUTE 68 Washington Williamsport,Williams ##port Washington MA ##R ##Y ##LA ##ND,0.6666666666666666,MARYLAND Washington Williamsport
50,"Still much flooding in Maryland, Virginia and West Virginia. Stay safe!",Maryland Virginia,Maryland Virginia West Virginia,1.0,Maryland Virginia West Virginia
51,The aR team has been in touch with the ground team in Ellicot City(and surrounding area) who has experienced extensive flooding. We are ACTivating a team. Stay tuned for reACTion news and how you can help! You got this Maryland! ὊA,Ellicot Maryland,El ##lic ##ot City Maryland,0.5,Ellicot City Maryland
52,"RT @anadoluagency: Mayor of Rafina, #Greece says death toll from wildfire near capital Athens has topped 60",Athens Greece,Ra ##fin ##a Greece Athens,0.5,Athens Greece Rafina
53,#Israel἞E἟1 offers aid 2 #Greece἞C἟7 as devastating fireὒ5 rage near #Athens Our thoughts & prayers r w/ our Greek friends #Greecefires @IsraelinGreece @IsraelMFA,Athens Greek,Athens,0.5,Athens
54,"Our thoughts are with the victims of the devastating wildfires in Sweden, Latvia and especially Greece that have claimed over 50 deaths. We are grateful and proud of all fire fighters and rescue forces who help in European solidarity to alleviate distress and suffering.",European Greece Latvia Sweden,Sweden Latvia Greece,0.25,Greece Latvia Sweden
55,"today because of raging fires many people got injured, died and some are missing or still cant escape the flames while more than 100 houses got burned. my friends got trapped in the fire and barely managed to escape. please keep greece in your prayers #PrayForGreece",greece,g ##ree ##ce,1.0,Greece greece
56,"Greek fire is evolving into a Greek Tragedy today as the fire is still going on ὒ5. More than 50 people dead until now, among them children. Our thoughts with all the victims and with all those who fight bravely with the flames right now. #Greece #fire",Greece Greek,Greece,0.5,Greece
57,἞C἟7Greece: Greece wildfires: At least 60 killed near Athens as residents and tourists forced to flee into the sea,Greece,Greece Athens,1.0,Athens Greece
58,"#UPDATE 50 people die and 170 are reported injured in wildfires ravaging Athens region, as Greek authorities fear the toll may rise further",Athens Greek,Athens,0.5,Athens
59,Europe rallies around Greece as wildfire death toll climbs  #Greece #news,Europe Greece,Greece Greece,0.5,Greece
60,"Telephones for #volunteers located in Mati, Kokkino Limanaki and Neo Voutza in Attica for assistance to #Animals  call: 6934396816, 6945597792. #φωτιά #πυρκαγιά #AthensFires #Athens #Greece #Greecefires",Attica Greece Kokkino Limanaki Mati Neo Voutza,Mat ##i Ko ##k ##kin ##o Lima ##na ##ki Neo V ##out ##za At ##tica Athens Greece,0.1428571428571428,Athens Attica Greece Kokkino Limanaki Mati Neo Voutza
61,"ὒ5 UPDATE: Reports up to 65 fatalities approx. 150+ injured & others reported missing people number unknown. Many residents trapped in seaside villages only one way to escape raging flames fled into sea. Deadliest wildfire! Italy, Germany, Poland, France sent help. #GreeceFires",France Germany Poland,Italy Germany Poland France,0.3333333333333333,France Germany Italy Poland
62,"At least 60 people, including young children have died in wildfires near Athens. Greece has asked other European countries to help tackle the devastating fires, which are the worst the country has seen in more than a decade.",Greece,Athens Greece,1.0,Athens Greece
63,"According to the mayor of Rafina, the municipality near Athens that was hit by last nights #GreekFires wave, the death toll will rise significantly. He can confirm that at least 60 people have died #AthensFires #athensforestfires",Athens Rafina,Ra ##fin ##a Athens,0.5,Athens Rafina athens
64,Greece fires LIVE: 60 DEAD and 150 injured as worst WILDFIRES in decade destroy Athens #AthensFires #athensforestfires #Greecefires #greecefire,Greece,Greece Athens,3.0,Athens Greece athens greece
65,This is a sad day for #Greece with more than 50 people dead in fire and many more injured. #Attica #Πυρκαγια,Greece,Greece At,1.0,At Greece
66,Israel offers aid to Greece as wildfires rage near Athens | The Jerusalem post,Athens Israel Jerusalem,Israel Greece Athens Jerusalem,0.3333333333333333,Athens Greece Israel Jerusalem
67,The death toll is now at 60 for a wildfire in #Greece. The firemen denounce how 25% of the anti-fire trucks are out of use because of a lack of funds. This is how the mother of Europe has been reduced by EU austerity: a country that can’t even pay for basic rescue services.,Europe Greece,Greece,0.5,Greece
68,"Long-life food items, medical supplies (cont.) The NGO IASIS is taking donations at their offices on Acharnon 297 Kato Patissia from 10am to 8 pm. Volunteers who want to help can call: 2108655039 #AthensFires #athens #Πυρκαγια",Acharnon athens,A ##cha ##rno Kat ##o Pat ##iss at ##hen ##s,2.0,Acharno Athens Kato Patiss athens
69,Stranger Than Fiction News | BREAKING: APOCOLYPTIC WILDFIRES KILL OVER 100 IN ATHENS,ATHENS,AT ##H ##EN,1.0,ATHEN
70,#Greece wildfires: 60 dead in holiday area - #BBC News #rescueservices #Athens #localmedia #Mati,Athens Greece Mati,Greece Athens Mat,0.3333333333333333,Athens Greece Mat
71,"More than 50 people dead in #greece after #wildfires outside #athens This is not a natural catastrophe or accident. This is the result of austerity on firemen, natures exploitation by state and capital, the prioritization of financial debt against humans by all greek govts",greece,g ##ree ##ce at ##hen ##s,1.0,athens greece
72,"#Wildfires raging near Athens, #Greece, have already left dozens of people dead. The country sought international help as authorities rushed to evacuate residents and tourists stranded in beaches along the coast. . ὏7 @afpphoto . #wildfire #fire #greece",Greece,Athens Greece g ##ree ##ce,2.0,Athens Greece greece
73,RT @DivaKnevil: #Greece #wildfires #Attica Lost Cat. If you see her call on Phone: 6982835695 #φωτιά #πυρκαγιά,Greece,Greece At ##tica,1.0,Attica Greece
74,"I saw corpses, one woman said. Greece has declared three days of national mourning after wildfires near Athens killed at least 50 people.",Greece,Greece Athens,1.0,Athens Greece
75,"Wildfires are back in Southern Europe (not that is good news) A very intense fire is raging in the vicinity of Kineta ἞C἟7 west of #Athens The heat is so intense that #Sentinel2἞A἟AὯ0 in today’s imagery, would only see an infrared spot",Athens Kineta Southern Europe,Ki ##net ##a Athens,0.5,Athens Kineta
76,"Vast areas around Athens annihilated by wildfires, 60 dead. The #Greek neobolshevik #Syriza gvt once more virtue-signaling, inept and clueless. Shameless and arrogant, leftard bigwigs blame for the tragedy the opposition, the media, the weather, climate change",Athens Greek,Athens,0.5,Athens
77,Help raise £10000 to Support Families that suffered from recent fires in Gre.. Please #donate on @justgiving and RT  #Greece #fire #PrayForGreece #Grecia,Grecia,G Greece G ##re ##cia,3.0,G Grecia Greece g
78,If you can donate to help with Greek Wildfire Victims do it here please  #greece #Yunanistan #Grecia #GreeceFires,Grecia Yunanistan greece,g ##ree ##ce Yun ##ani ##stan G ##re ##cia,0.3333333333333333,Grecia Greece Yunanistan greece
79,"#SverigeBrinner & Meanwhile in #Greece: 74 killed, 180+ injured by wildfires in #GreeceFire, authorities ask EU for help, via @RT_com #Attica",Attica Greece,Greece At,0.5,At Greece
80,"RT @MIA_NEWS_en: @MIA_NEWS_en #Macedonia will send 100,000 euros (6 million denars) in financial aid to #Greece after deadly #wildfires",Macedonia,Macedonia Greece,1.0,Greece Macedonia
81,Tragic news from #Greece where a least 74 people have died in the obnoxious wildfires occurred in the Attica regions seaside village Mati. Thoughts and prayers. #Yunanistan,Attica Greece Yunanistan,Greece At ##tica Mat Yun ##ani ##stan,0.3333333333333333,Attica Greece Mat Yunanistan
82,Also discussed the wildfires in #Greece with @JayneSeckerSky from Sky News. The death toll from a numbers of fires across Greece has risen to 74. #Greecefires #GREECEWILDFIRES #Greeceonfire,Greece,Greece Greece,1.0,GREECE Greece
83,"If the death toll climbs higher, then this will be the deadliest forest fire in European history. @thetimes #greece #greecefire #Πυρκαγιά",European greece,g ##ree ##ce,0.5,greece
84,#Greece wildfires: Survivors fled to sea as flames kill. #EUCivPro activated in support of ἞C἟7#Athens. ἞A἟A#EUSolidarity is in action as #ERCC sends rescue crews & equipment from other #EU member states. #SolidarityWithGreece,EU Greece,Greece Athens EU,0.5,Athens EU Greece
85,#HELPGREECENOW News from #greece is heartbreaking. #Wildfires in suburbs of Athens claim 74 lives as many jump in sea to escape flames. #Fires still blazing as communities burned to ash. HALC launches a relief effort to fund the Hellenic Red Cross,Athens greece,g ##ree ##ce Athens,0.5,Athens GREECE greece
86,"Huge queues from people waiting to donate blood for the injured from #AthensFires at Thriasio Hospital, Athens. A huge solidarity movement in #Greece #Greecefires #πυρκαγια #wilffires [pic from Thanasis Nikolaou, fb]",Athens Greece,T ##hr ##ias ##io Hospital Athens Greece,1.0,Athens Greece Thriasio Hospital
87,Death is everywhere here. @LSpyropoulou describes the fatal wildfires in the Attica region of #Greece that have killed at least 60 people so far. *WARNING: Graphic content. You can listen to her full description here:,Greece,At ##tica Greece,1.0,Attica Greece
88,"Believe me, nobody cares about Demi Lovato, a spoiled stupid rich girl. In my country, Greece, 80 people some of them kids lost their lives yesterday. Pray for them not for Levato #PrayForGreece #Greece #greecefire #wildfires #AthensFires #PrayForDemiLovato #PRAYFORDEMI",Greece,Greece Greece,1.0,Greece greece
89,"Horrible news about #Athens. At least 50 dead in #Greek seaside #wildfires, including 20 huddled near Athens beach. Cannot imagine how it would feel to stand to lose your home, your possessions, loved ones #PrayForAthens #AthensFires",Athens Athens beach,Athens,0.6666666666666666,Athens
90,This is the place were the bodies of 26 of the dead - many of them huddled together - were discovered in the coastal village of #Mati #Πυρκαγια #Greece #GREECEWILDFIRES,Greece Mati,Mat ##i Greece,0.5,GREECE Greece Mati
91,#Yunanistan #prayforgreece #PrayForAthens Please pray for us. They situation in Greece is getting worse . More than 70 people have died more than 180 are injured and a lot of people have gone missing. ὤFὢD,Greece Yunanistan,Yun ##ani ##stan Greece,0.5,Greece Yunanistan greece
92,"At this point 26 people left their cars and went near the sea! They thought they were safe but fire caught them. couple of them jumped from the cliff breaking their legs, the others found hugging each other. Some of them it seems were children #wildfires #Greecefires #greece",greece,g ##ree ##ce,1.0,Greece greece
93,"74 dead, 163 adults and 23 kids are injured, 50 are missing #wildfires #Greecefires #GREECEWILDFIRES #greece #fires #PrayForGreece",greece,g ##ree ##ce,2.0,GREECE Greece greece
94,"RT @TornosNewsCom: Foreign Office: Wildfires in limited areas, most visits to Athens and Greece unaffected  /",Greece,Athens Greece,1.0,Athens Greece
95,"More than 74 people have lost their life following the deadly fires in Eastern Attica on Monday night. If you live abroad, If you live in Greece: how to help  #Greecefires #prayforgreece",Eastern Attica Greece,Eastern At ##tica Greece,0.3333333333333333,Eastern Attica Greece greece
96,All the belongings they managed to save from the fire in #Mati #Rafina are in the backstair of their motorbike Their house is destroyed. But they are alive and not among the 74 victims of the catastrophe in #Greece #GreeceFires,Greece,Mat ##i Ra ##fin Greece,2.0,Greece Mati Rafin
97,#Greecefires OFFICIAL number of dead rises to 79. More than 40 still missing. 4 looters arrested in the affected area. #Attiki #Πυρκαγια #PrayForGreece #pyrkagia #Yunanistan [Photo: @FOSPHOTOS ],Attiki Yunanistan,At ##ti ##ki p ##yr ##ka ##gia Yun ##ani ##stan,0.5,Attiki Yunanistan pyrkagia
98,RT @TheopiSkarlatos: Supplies for Greek Wildfires.. how we can help #greece #GreeceFires #GreekFires,Greek greece,g ##ree ##ce,0.5,Greece greece
99,Apocalyptic inferno leaves at least 60 dead.. #Pray For #Hellas ὤFἿB #GO἞C἟7 _________________________ #prayforgreece #sad #together #help #flag #families #blue #white #spread #love #givehope #city #fire #disaster #smoke #athens #kineta #κινετα #αθηνα #foundation #Mati #Ματι,Mati athens,Hell at ##hen ##s,0.5,Hell athens
100,"2) Other ways of helping includes calling a local Greek Orthodox Church, Greek Community Centres, Greek Organizations, Greek Embassies / Greek Consulates to see what each entity is doing in regards to relief aide or to whom they can refer you to. #Athens #Greece #GreeceWildFires",Athens Greece Greek Community Centres Greek Consulates Greek Embassies Greek Organizations Greek Orthodox Church,Greek Orthodox Church Greek Community Centre Em Consul Athens Greece,0.5714285714285714,Athens Consul Em Greece Greek Greek Community Centre Greek Orthodox Church
101,"The mayor of Rafina, where one of the fires struck, says he expects the death toll to top 100 in #Greece after the deadliest wildfires in Europes modern history. Our @AFP wrap",Europes Greece Rafina,Ra ##fin ##a Greece ##s,0.6666666666666666,Rafina
102,"Irish honeymoon couple caught up in Athens wildfires, husband missing  An Irish couple on their honeymoon in Greece have been caught up in the devastating wildfires that raged in East Attica, the summer resort coast North-West of",Athens Greece,Athens Greece East At ##tica,1.0,Athens East Attica Greece
103,"The wildfires that raged through Attica, have left Greece with a devastating aftermath, as the death toll has now risen to 80, hundreds are in critical condition and many still missing.",Greece,At ##tica Greece,1.0,Attica Greece
104,"Greek authorities are looking for dozens of people missing after the deadly #wildfires near Athens. At least 79 people have died, and a search continues for survivors who fled the blaze, including those who took to the sea. #Attica #Mati #GreeceFires",Athens,Athens At ##tica Mat ##i,2.0,Athens Attica Mati
105,"At least 60 people killed in Greece wildfires in the Attica region around Athens, local official says",Athens Greece,Greece At ##tica Athens,0.5,Athens Attica Greece
106,RT @AngelicaTeazis: If you can’t donate please share! Please help Greece during this devastating time. #PrayForGreece #GREECEWILDFIRES ht,Greece,Greece,1.0,GREECE Greece
107,"An other summer, an other Wildfire, an other crisis. +20 dead & +100 wounded in Wildfires near #Athens. A State of Emergency is declared for Attica, the Army & Navy are deployed.. As residents & tourists seek refuge at sea. Cyprus sends 60 firefighters. Keep fighting #Greece..",Athens Cyprus Greece,Athens At ##tica Cyprus Greece,0.3333333333333333,Athens Attica Cyprus Greece
108,:( Cars turned to molten metal as Greek wildfires wipe villages off the map,Greek,,1.0, 
109,If you want to help the people of #Greece who suffer from the #wildfires #greecefire you can donate to: MUNICIPALITY: IBAN: GR20 0172 1860 0051 8609 2291 418 Name: DIMOS RAFINAS - PIKERMIOU RED CROSS: IBAN: GR6402602400000310201181388,Greece,Greece,1.0,Greece greece
110,"Very happy and proud to see @bogrinho helping others in need during the horrible fire in Greece. Without anybody knowing he went himself and bought medicine, food and water. He packed his car and went to the place where people are suffering from the big fires in Athens. Bravo.",Greece,Greece Athens,1.0,Athens Greece
111,"Latest #AthensFires death toll 81. Injured 108, 25 still hospitalised, 11 in intensive care units. #Πυρκαγια #PrayForGreece #pyrkagia",pyrkagia,p ##yr,1.0,pyr
112,. Attention immigrants and refugees living in Athens! Lets unite to help the honorable people of Greece. More than 60 people were killed and many others were wounded in a horrendous fire in regions surrounding Athens. The Greek government has declared this an emergency. ὡ3ὡ3,Athens Greece Greek,Athens Greece Athens,0.3333333333333333,Athens Greece
113,Pray for #Greece at least 80 people have died. ὡ4 from the #wildFires many #kids among them and at least 100 are missing according to the mayor of that suburban city. not to mention the 170+ in the hospitals #Mati #PrayForGreece #AthensFires,Greece,Greece Mat ##i,1.0,Greece Mati
114,Wildfires in Greece: #Albanian government offers 100 thousand euros in aid #Albania #Balkans #AthensFires #Greecefires #PrayTogether4Greece #Mati,Albania Albanian Greece,Greece Albanian Albania Balkans,0.3333333333333333,Albania Albanian Balkans Greece
