,text,location,raw_prediction,WER,prediction
30,Severe T-storm Warning for Frederick County in Maryland. Damaging winds and flash flooding are the main threats. Get ready Libertytown. #wusa9weather @wusa9 @melissanordwx,Frederick Libertytown Maryland,Frederick County Maryland Liberty ##town,0.3333333333333333,Frederick County Libertytown Maryland
31,"NEW: Flood warning (green box below) issued for southern Prince Georges & western Charles counties in Maryland until 7pm tonight due to heavy rain over the region. Reminder to please DO NOT cross flooded roadways. Turn around, don’t drown. ἲ7⛈",Maryland,Prince Georges Charles Maryland,3.0,Charles Georges Maryland Prince
32,WEATHER ALERT: Flood Warning issued for parts of Prince Georges and Charles counties in Maryland. Flash flooding reported in PG County,Charles Maryland PG County Prince Georges,Prince Georges Charles Maryland,0.6666666666666666,Charles Georges Maryland Prince
33,Flash #flood warning in effect for parts of #Maryland - here’s a view of the heavy rain pounding #Baltimore- @MegWJZ is tracking the system @wjz #WJZ #weatheralert,Baltimore- Maryland,Maryland Baltimore,0.5,Baltimore Maryland
34,"MPD 0261 SE #PENNSYLVANIA, N #DELAWARE INTO #MARYLAND, #DC & CNTRL/E #VIRGINIA FLASH FLOODING POSSIBLE VALID TIL 0510 AM EDT ADDITIONAL FLASH FLOODING WILL BE POSSIBLE OVER THE NEXT FEW HOURS. AN ADDITIONAL 2-4 IN WILL BE POSSIBLE ON TOP OF SATURATED SOILS",DELAWARE MARYLAND PENNSYLVANIA VIRGINIA,P ##EN ##NS ##Y ##L ##VA ##NI ##A DE ##LA ##WA ##RE MA ##R ##Y ##LA ##ND VI ##R ##GI ##NI ##A VA ##L ##ID,0.25,DELAWARE MARYLAND PENNSYLVANIA VALID VIRGINIA
35,FLOODING: #MontgomeryCounty #Maryland I-495 at Route 29 end of the ramp merge lane to 495 flooded causing vehicles to swerve out onto 495 Without merging,I-495 at Route 29 Maryland MontgomeryCounty,Montgomery ##C ##nt ##y Maryland,0.8333333333333334,Maryland MontgomeryCnty
36,"Heavy rain, floods swamp Mid-Atlantic: Driving rain led to dangerous floods in the Mid-Atlantic on Sunday, adding to the weather misery across the sodden region. Flood warnings were in effect Sunday in Maryland, Virginia, West Virginia and Washington,",Maryland Virginia Washington West Virginia,Maryland Virginia West Virginia Washington,0.2,Maryland Virginia Washington West
37,"Maryland Department of Transportation (MDOT) State Highway Administration (SHA) reports all eastbound and westbound lanes on US-50 at Kenilworth Avenue (MD-201) in Prince George’s County, MD are closed due to flooding.",Maryland Prince George’s,Maryland Prince George ’ s County MD,1.0,George MD Maryland Prince County
38,"ELLICOTT CITY, Md. (WJZ)– Last Sunday, heavy down pours caused major flooding in both Howard and Baltimore Counties. Main Street in Ellicott City was slammed by the deluge that led to the death of a Maryland National  via",Baltimore Ellicott City Maryland,##LL ##T Baltimore El ##lic ##ott City Maryland,0.25,Baltimore Ellicott City LLT Maryland
39,"At 6:46 AM, Williamsport [Washington Co, MD] DEPT OF HIGHWAYS reports FLOOD. MARYLAND ROUTE 68 FLOODED AND CLOSED DUE TO BACKWATER FLOODING OF CONOCOCHEAGUE CREEK JUST UPSTREAM OF THE POTOMAC RIVER.",CONOCOCHEAGUE CREEK MARYLAND POTOMAC RIVER ROUTE 68 Washington Williamsport,Williams ##port Washington MA ##R ##Y ##LA ##ND,0.6666666666666666,MARYLAND Washington Williamsport
40,"Still much flooding in Maryland, Virginia and West Virginia. Stay safe!",Maryland Virginia,Maryland Virginia West Virginia,0.5,Maryland Virginia West
41,"Weekend Flooding Closes Roads in Virginia, Maryland; State of Emergency in 8 West Virginia Counties - The Weather Channel",Maryland Virginia West Virginia,Virginia Maryland West Virginia,0.25,Maryland Virginia West
42,The aR team has been in touch with the ground team in Ellicot City(and surrounding area) who has experienced extensive flooding. We are ACTivating a team. Stay tuned for reACTion news and how you can help! You got this Maryland! ὊA,Ellicot Maryland,El ##lic ##ot City Maryland,0.5,Ellicot City Maryland
43,"RT @anadoluagency: Mayor of Rafina, #Greece says death toll from wildfire near capital Athens has topped 60",Athens Greece,Ra ##fin ##a Greece Athens,0.5,Athens Greece Rafina
44,#Israel἞E἟1 offers aid 2 #Greece἞C἟7 as devastating fireὒ5 rage near #Athens Our thoughts & prayers r w/ our Greek friends #Greecefires @IsraelinGreece @IsraelMFA,Athens Greek,Athens,0.5,Athens
45,"Our thoughts are with the victims of the devastating wildfires in Sweden, Latvia and especially Greece that have claimed over 50 deaths. We are grateful and proud of all fire fighters and rescue forces who help in European solidarity to alleviate distress and suffering.",European Greece Latvia Sweden,Sweden Latvia Greece,0.25,Greece Latvia Sweden
46,"Greek fire is evolving into a Greek Tragedy today as the fire is still going on ὒ5. More than 50 people dead until now, among them children. Our thoughts with all the victims and with all those who fight bravely with the flames right now. #Greece #fire",Greece Greek,Greece,0.5,Greece
47,἞C἟7Greece: Greece wildfires: At least 60 killed near Athens as residents and tourists forced to flee into the sea,Greece,Greece Athens,1.0,Athens Greece
48,"#UPDATE 50 people die and 170 are reported injured in wildfires ravaging Athens region, as Greek authorities fear the toll may rise further",Athens Greek,Athens,0.5,Athens
49,Europe rallies around Greece as wildfire death toll climbs  #Greece #news,Europe Greece,Greece Greece,0.5,Greece
50,"Telephones for #volunteers located in Mati, Kokkino Limanaki and Neo Voutza in Attica for assistance to #Animals  call: 6934396816, 6945597792. #φωτιά #πυρκαγιά #AthensFires #Athens #Greece #Greecefires",Attica Greece Kokkino Limanaki Mati Neo Voutza,Mat ##i Ko ##k ##kin ##o Lima ##na ##ki Neo V ##out ##za At ##tica Athens Greece,0.1428571428571428,Athens Attica Greece Kokkino Limanaki Mati Neo Voutza
51,"ὒ5 UPDATE: Reports up to 65 fatalities approx. 150+ injured & others reported missing people number unknown. Many residents trapped in seaside villages only one way to escape raging flames fled into sea. Deadliest wildfire! Italy, Germany, Poland, France sent help. #GreeceFires",France Germany Poland,Italy Germany Poland France,0.3333333333333333,France Germany Italy Poland
52,"At least 60 people, including young children have died in wildfires near Athens. Greece has asked other European countries to help tackle the devastating fires, which are the worst the country has seen in more than a decade.",Greece,Athens Greece,1.0,Athens Greece
53,Greece fires LIVE: 60 DEAD and 150 injured as worst WILDFIRES in decade destroy Athens #AthensFires #athensforestfires #Greecefires #greecefire,Greece,Greece Athens,1.0,Athens Greece
54,This is a sad day for #Greece with more than 50 people dead in fire and many more injured. #Attica #Πυρκαγια,Greece,Greece At,1.0,At Greece
55,Israel offers aid to Greece as wildfires rage near Athens | The Jerusalem post,Athens Israel Jerusalem,Israel Greece Athens Jerusalem,0.3333333333333333,Athens Greece Israel Jerusalem
56,The death toll is now at 60 for a wildfire in #Greece. The firemen denounce how 25% of the anti-fire trucks are out of use because of a lack of funds. This is how the mother of Europe has been reduced by EU austerity: a country that can’t even pay for basic rescue services.,Europe Greece,Greece,0.5,Greece
57,SOS: To all my friends in London - Please help us gather food and essentials for the victims of the deadly fire in Greece. In cooperation with the Greeks working at Imperial Hospital we created 2 collection points,Greece Imperial Hospital London,London Greece Imperial Hospital,0.5,Greece Hospital Imperial London
58,"Long-life food items, medical supplies (cont.) The NGO IASIS is taking donations at their offices on Acharnon 297 Kato Patissia from 10am to 8 pm. Volunteers who want to help can call: 2108655039 #AthensFires #athens #Πυρκαγια",Acharnon athens,A ##cha ##rno Kat ##o Pat ##iss at ##hen ##s,1.5,Acharno Kato Patiss athens
59,Stranger Than Fiction News | BREAKING: APOCOLYPTIC WILDFIRES KILL OVER 100 IN ATHENS,ATHENS,AT ##H ##EN,1.0,ATHEN
60,#Greece wildfires: 60 dead in holiday area - #BBC News #rescueservices #Athens #localmedia #Mati,Athens Greece Mati,Greece Athens Mat,0.3333333333333333,Athens Greece Matti
61,"More than 50 people dead in #greece after #wildfires outside #athens This is not a natural catastrophe or accident. This is the result of austerity on firemen, natures exploitation by state and capital, the prioritization of financial debt against humans by all greek govts",greece,g ##ree ##ce at ##hen ##s,1.0,athens greece
62,"#Wildfires raging near Athens, #Greece, have already left dozens of people dead. The country sought international help as authorities rushed to evacuate residents and tourists stranded in beaches along the coast. . ὏7 @afpphoto . #wildfire #fire #greece",Greece,Athens Greece g ##ree ##ce,2.0,Athens Greece greece
63,RT @DivaKnevil: #Greece #wildfires #Attica Lost Cat. If you see her call on Phone: 6982835695 #φωτιά #πυρκαγιά,Greece,Greece At ##tica,1.0,Attica Greece
64,"I saw corpses, one woman said. Greece has declared three days of national mourning after wildfires near Athens killed at least 50 people.",Greece,Greece Athens,1.0,Athens Greece
65,"Wildfires are back in Southern Europe (not that is good news) A very intense fire is raging in the vicinity of Kineta ἞C἟7 west of #Athens The heat is so intense that #Sentinel2἞A἟AὯ0 in today’s imagery, would only see an infrared spot",Athens Kineta Southern Europe,Ki ##net ##a Athens,0.5,Athens Kineta
66,"Vast areas around Athens annihilated by wildfires, 60 dead. The #Greek neobolshevik #Syriza gvt once more virtue-signaling, inept and clueless. Shameless and arrogant, leftard bigwigs blame for the tragedy the opposition, the media, the weather, climate change",Athens Greek,Athens,0.5,Athens
67,"A Terrible Day: Greek Wildfires Kill At Least 74 People, Devastate Resort Village  #Greece #news",Devastate Resort Greece,Dev ##ast ##ate Resort Greece,0.6666666666666666,Devastate Greece Resort
68,Help raise £10000 to Support Families that suffered from recent fires in Gre.. Please #donate on @justgiving and RT  #Greece #fire #PrayForGreece #Grecia,Grecia,G Greece G ##re ##cia,1.0,Grecia Greece
69,"#SverigeBrinner & Meanwhile in #Greece: 74 killed, 180+ injured by wildfires in #GreeceFire, authorities ask EU for help, via @RT_com #Attica",Attica Greece,Greece At,0.5,At Greece
70,"RT @MIA_NEWS_en: @MIA_NEWS_en #Macedonia will send 100,000 euros (6 million denars) in financial aid to #Greece after deadly #wildfires",Macedonia,Macedonia Greece,1.0,Greece Macedonia
71,Tragic news from #Greece where a least 74 people have died in the obnoxious wildfires occurred in the Attica regions seaside village Mati. Thoughts and prayers. #Yunanistan,Attica Greece Yunanistan,Greece At ##tica Mat Yun ##ani ##stan,0.3333333333333333,Attica Greece Matti Yunanistan
72,"If the death toll climbs higher, then this will be the deadliest forest fire in European history. @thetimes #greece #greecefire #Πυρκαγιά",European greece,g ##ree ##ce,0.5,greece
73,#Greece wildfires: Survivors fled to sea as flames kill. #EUCivPro activated in support of ἞C἟7#Athens. ἞A἟A#EUSolidarity is in action as #ERCC sends rescue crews & equipment from other #EU member states. #SolidarityWithGreece,EU Greece,Greece Athens EU,0.5,Athens EU Greece
74,A tragic day for #Greece . More than 50 innocent people lost their lives and hundreds more wounded from the fire that destroyed East Attika  Sorrow beyond measure . A lot of scenarios of espionage and sabotage ops . A mountain that was wanted for mine ops also .,East Attika Greece,Greece East At ##ti ##ka,0.6666666666666666,Attika East Greece
75,"Huge queues from people waiting to donate blood for the injured from #AthensFires at Thriasio Hospital, Athens. A huge solidarity movement in #Greece #Greecefires #πυρκαγια #wilffires [pic from Thanasis Nikolaou, fb]",Athens Greece,T ##hr ##ias ##io Hospital Athens Greece,1.0,Athens Greece Hospital Thriasio
76,Death is everywhere here. @LSpyropoulou describes the fatal wildfires in the Attica region of #Greece that have killed at least 60 people so far. *WARNING: Graphic content. You can listen to her full description here:,Greece,At ##tica Greece,1.0,Attica Greece
77,"Horrible news about #Athens. At least 50 dead in #Greek seaside #wildfires, including 20 huddled near Athens beach. Cannot imagine how it would feel to stand to lose your home, your possessions, loved ones #PrayForAthens #AthensFires",Athens Athens beach,Athens,0.6666666666666666,Athens
78,"RT @TornosNewsCom: Foreign Office: Wildfires in limited areas, most visits to Athens and Greece unaffected  /",Greece,Athens Greece,1.0,Athens Greece
79,Local authorities in the fire-stricken area of Rafina have been overwhelmed by private donations. People affected by #Greecefires can get medicine and other essentials from the former US base in Nea Makri. #Mati is still without water and electricity #Πυρκαγιά,Nea Makri Rafina US,Ra ##fin ##a US N ##ea Ma ##k ##ri,0.5,Makri Nea Rafina US
80,"More than 74 people have lost their life following the deadly fires in Eastern Attica on Monday night. If you live abroad, If you live in Greece: how to help  #Greecefires #prayforgreece",Eastern Attica Greece,Eastern At ##tica Greece,0.6666666666666666,Attica Eastern Greece
81,All the belongings they managed to save from the fire in #Mati #Rafina are in the backstair of their motorbike Their house is destroyed. But they are alive and not among the 74 victims of the catastrophe in #Greece #GreeceFires,Greece,Mat ##i Ra ##fin Greece,2.0,Greece Mati Rafin
82,#Greecefires OFFICIAL number of dead rises to 79. More than 40 still missing. 4 looters arrested in the affected area. #Attiki #Πυρκαγια #PrayForGreece #pyrkagia #Yunanistan [Photo: @FOSPHOTOS ],Attiki Yunanistan,At ##ti ##ki p ##yr ##ka ##gia Yun ##ani ##stan,0.5,Attiki Yunanistan pyrkagia
83,#Greek Orthodox Church could think of other people for a change and donate some money to the victims of the #Athensfires #πυρκαγια,Greek Orthodox Church,Greek Orthodox Church,0.6666666666666666,Church Greek Orthodox
84,RT @TheopiSkarlatos: Supplies for Greek Wildfires.. how we can help #greece #GreeceFires #GreekFires,Greek greece,g ##ree ##ce,0.5,greece
85,Apocalyptic inferno leaves at least 60 dead.. #Pray For #Hellas ὤFἿB #GO἞C἟7 _________________________ #prayforgreece #sad #together #help #flag #families #blue #white #spread #love #givehope #city #fire #disaster #smoke #athens #kineta #κινετα #αθηνα #foundation #Mati #Ματι,Mati athens,Hell at ##hen ##s,0.5,Hell athens
86,"2) Other ways of helping includes calling a local Greek Orthodox Church, Greek Community Centres, Greek Organizations, Greek Embassies / Greek Consulates to see what each entity is doing in regards to relief aide or to whom they can refer you to. #Athens #Greece #GreeceWildFires",Athens Greece Greek Community Centres Greek Consulates Greek Embassies Greek Organizations Greek Orthodox Church,Greek Orthodox Church Greek Community Centre Em Consul Athens Greece,0.7142857142857143,Athens Centre Church Community Consul Em Greece Greek Orthodox
87,"The mayor of Rafina, where one of the fires struck, says he expects the death toll to top 100 in #Greece after the deadliest wildfires in Europes modern history. Our @AFP wrap",Europes Greece Rafina,Ra ##fin ##a Greece ##s,0.6666666666666666,Greeces Rafina
88,"Irish honeymoon couple caught up in Athens wildfires, husband missing  An Irish couple on their honeymoon in Greece have been caught up in the devastating wildfires that raged in East Attica, the summer resort coast North-West of",Athens Greece,Athens Greece East At ##tica,1.0,Athens Attica East Greece
89,"The wildfires that raged through Attica, have left Greece with a devastating aftermath, as the death toll has now risen to 80, hundreds are in critical condition and many still missing.",Greece,At ##tica Greece,1.0,Attica Greece
90,"Greek authorities are looking for dozens of people missing after the deadly #wildfires near Athens. At least 79 people have died, and a search continues for survivors who fled the blaze, including those who took to the sea. #Attica #Mati #GreeceFires",Athens,Athens At ##tica Mat ##i,2.0,Athens Attica Mati
91,"At least 60 people killed in Greece wildfires in the Attica region around Athens, local official says",Athens Greece,Greece At ##tica Athens,0.5,Athens Attica Greece
92,"An other summer, an other Wildfire, an other crisis. +20 dead & +100 wounded in Wildfires near #Athens. A State of Emergency is declared for Attica, the Army & Navy are deployed.. As residents & tourists seek refuge at sea. Cyprus sends 60 firefighters. Keep fighting #Greece..",Athens Cyprus Greece,Athens At ##tica Cyprus Greece,0.3333333333333333,Athens Attica Cyprus Greece
93,:( Cars turned to molten metal as Greek wildfires wipe villages off the map,Greek,,1.0, 
94,"Very happy and proud to see @bogrinho helping others in need during the horrible fire in Greece. Without anybody knowing he went himself and bought medicine, food and water. He packed his car and went to the place where people are suffering from the big fires in Athens. Bravo.",Greece,Greece Athens,1.0,Athens Greece
95,"Latest #AthensFires death toll 81. Injured 108, 25 still hospitalised, 11 in intensive care units. #Πυρκαγια #PrayForGreece #pyrkagia",pyrkagia,p ##yr,1.0,pyr
96,. Attention immigrants and refugees living in Athens! Lets unite to help the honorable people of Greece. More than 60 people were killed and many others were wounded in a horrendous fire in regions surrounding Athens. The Greek government has declared this an emergency. ὡ3ὡ3,Athens Greece Greek,Athens Greece Athens,0.3333333333333333,Athens Greece
97,Pray for #Greece at least 80 people have died. ὡ4 from the #wildFires many #kids among them and at least 100 are missing according to the mayor of that suburban city. not to mention the 170+ in the hospitals #Mati #PrayForGreece #AthensFires,Greece,Greece Mat ##i,1.0,Greece Mati
98,Wildfires in Greece: #Albanian government offers 100 thousand euros in aid #Albania #Balkans #AthensFires #Greecefires #PrayTogether4Greece #Mati,Albania Albanian Greece,Greece Albanian Albania Balkans,0.3333333333333333,Albania Albanian Balkans Greece
99,#Greece: Pakistani community reaches out to fire victims in eastern Attica.  #Athensfires,Attica Greece Pakistani,Greece At ##tica,0.3333333333333333,Attica Greece
100,"Fast-moving wildfires near #Athens have killed at least 76. #Europe has sweltered through an unusually hot and dry summer, breaking temperature records and fueling significant fires in several countries, including #Sweden and #Britain. V.C:@nowthis #wildfire #environmentallegacy",Athens Europe Sweden,Athens Sweden Britain,0.3333333333333333,Athens Britain Sweden
101,"#Greek govt announces instant payment of 5,000 euros for those affected by the #wildfires-6,000 for families-8,000 for businesses Karamanlis govt offered 3,000 after the deadly fires in the Peloponnese back in 2007 I ll see you and raise you #AthensFires",Greek Karamanlis,Kara ##man ##lis,0.5,Karamanlis
102,EU states join forces to fight deadly wildfires across Europe  #Greece #news,EU Europe Greece,EU Greece,0.3333333333333333,EU Greece
103,The Guardian: How the #wildfires spread – A visual guide | More than 80 people have been killed after #Greece’s worst wildfire in a decade hit the small resort of #Mati 18 miles east of #Athens  #Πυρκαγια,Athens Greece,Greece Mat ##i Athens,0.5,Athens Greece Mati
104,Greek wildfires kill Irishman while on honeymoon with wife he married days earlier So sad!  #mati #prayforgreece #Greecefires,mati,,1.0, 
105,Save Attica wildfires victims. Donate now!  #mati #wildfires #Greece,Attica wildfires Greece,At ##tica Greece,0.3333333333333333,Attica Greece
106,"Argyro and Kostas are dear friends who lost everything in the #AthensFires Please, help us help them if you can. And share this link!",Argyro,A ##rgy ##ro Ko ##sta,1.0,Argyro Kosta
107,"#Greece There are several places that offer help to stray animals, like in Agioi Thesodori for the Kineta strays. If someone finds a stray animal in Kineta, they can call 6975664142 for shelter. Thanks @theGRobsv #disasteranimals #GreeceFires #wildfires #animals",Greece,Greece Ki ##net ##a Ki ##net ##a,1.0,Greece Kineta
108,The Greek Government has set up a bank account for people and businesses wishing to donate in support of the victims of the recent fires. Donations can also be made from Australia.,Australia Greek,Australia,0.5,Australia
109,The Republic of Cyprus is contributing €10 million to support those affected by the fires in Athens. Would be good to see other EU leaders follow @AnastasiadesCY example #SolidarityGreece #AthensFires,Athens Cyprus,The Republic of Cyprus Athens EU,2.0,Athens Cyprus EU Republic The of
110,"This was our little paradise! The wildfires in Greece have, unfortunately, burnt down our summer house. In Athens 70+ people found dead in the flames and 176+ people are heavily injured. I",Greece,Greece Athens,1.0,Athens Greece
111,"OK now its personal. Ive just found out that Sue from church (were in St Pauls choir together) was hurt in the fire and is in hospital. Burns on arms and legs, but damage from smoke inhalation, worst. She nearly died. Lost her house, car and dog in the fires ὢ2 #Greecefires",St Pauls choir,St Paul ##s choir,0.6666666666666666,Pauls St choir
112,"People moved toward the sea to escape the fire, but were trapped on the clifftop that lines the area along the sea. How the fires in Mati, Greece, spread – a visual guide  #PrayForAthens #PrayForGreece #Πυρκαγια @skaigr #Greece #Ελλαδα @skaigr #Hellas",Greece Mati,Mat ##i Greece Greece Hell,0.5,Greece Hell Mati
113,Orthodox Christian Charities (IOCC) in US collects donations for Athens fires victims  US-based humanitarian agency International Orthodox Christian Charities (IOCC) and Greek partner Apostoli” responds to the wildfires in Athe,US,US Athens US,1.0,Athens US
114,"Unfortunately theres the first confirmed fatality, hope to be the last, among tourists at the #AthensFires: an Irishman in honeymoon. So sorry, R.I.P ὢ2  #Mati #Attica #wildfires #PrayForGreece #PrayForAthens #Πυρκαγια #Αττικη #ματι",Attica,Mat ##i At ##tica,1.0,Attica Mati
