,tweet_id,text,location,raw_prediction,WER,prediction
52,ID_1001161182366126080,"During the devastating Maryland flash floods, witnesses said Eddison Alexander was swept away while helping a woman cross the waters in Ellicott City",Ellicott City Maryland,Maryland El ##lic ##ott City,0.0,Ellicott City Maryland
53,ID_1001161326020956160,"Headed to the Howard County Food Bank with supplies. Please consider joining and bringing cleaning supplies, food and water. #ECStrong #ElliottCity",Howard County,Howard County,0.0,Howard County
54,ID_1001162007138185216,"Man missing after 1,000-year flood ravages Ellicott City for 2nd time in two years  Good thing Trump & his quislings are taking such good care of us - What climate change?",Ellicott City,El ##lic ##ott City,0.0,Ellicott City
55,ID_1001162370390155264,Officials in Maryland are looking for a National Guard member and Air Force veteran they say was swept away in weekend floods,Maryland,Maryland,0.0,Maryland
56,ID_1001163799326425088,Maryland man missing after Ellicott City devastated by rampaging flood,Ellicott City Maryland,Maryland El ##lic ##ott City,0.0,Ellicott City Maryland
62,ID_1001165258843664384,"RT @TIME: Hopeful that he will be OK.” Search underway for man missing in Ellicott City, Maryland flash flood",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
63,ID_1001165784016674816,"Its even worse: Ellicott City, Maryland, recovering from 2016 flood, hammered again  #flooding 25- to 30-ft-wide hole N of Main Street, ground and road buckled. utilities off, water ran thru bldgs, Patapsco River up 17.8 ft in 2 hrs, Sunday, record level",Ellicott City Maryland Patapsco River,El ##lic ##ott City Maryland Pat ##ap ##sco,0.2,Ellicott City Maryland Patapsco
64,ID_1001166109771431936,"Watch Video Severe flooding in Ellicott City, Maryland, has submerged vehicles, forced residents to evacuate and caused major damage to homes and businesses. Newsys partners at WMAR",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
65,ID_1001166885130592256,"Have you seen Eddison Hermond? The Army National Guard member is missing after devastating floods rolled through Ellicott City, Maryland, over the weekend.",Ellicott Maryland,El ##lic ##ott City Maryland,0.5,Ellicott City Maryland
66,ID_1001166979074412544,"Emergency workers are searching for 39-year-old Eddison Hermond in Ellicott City, which was hit hard Sunday evening by flash flooding from an intense rain storm.",Ellicott City,El ##lic ##ott City,0.0,Ellicott City
68,ID_1001168665688051712,"Search underway for a missing veteran, Eddison Hermond, reportedly swept away helping to rescue others from flash floods in Maryland",Maryland,Maryland,0.0,Maryland
70,ID_1001169406649659392,@missingpeople @MissingKids #MemorialDay ἟A἟8Ὢ8ATTENTIONὪ8἟A἟8 MISSING HERO IN FLOOD WATERS in Maryland!,Maryland,Maryland,0.0,Maryland
72,ID_1001170106347610112,"Flash floods again rip through Maryland  Two 1000 yr. floods in w years. The river rose 17.8 ft in 2 hours. I implore @CNN @MSNBC @CBSNews @Maddow, @ChrisHayes @ChadMeyers to explain why global warming & evaporation causes these rain bombs #ClimateAction",Maryland,Maryland,0.0,Maryland
73,ID_1001171005673324544,"Maryland county grapples with devastation left behind by flash flood- County is falsely proud of rebuilding and new businesses put at risk of flooding, because the did nothing to address drainage issues! Malfeasance in part of government officials.",Maryland,Maryland,0.0,Maryland
74,ID_1001171081145798656,"Flood waters often carry a lot of debris, which can be dangerous for anyone caught in the water. Debris-clogged culverts are also a common problem.",,,1.0, 
76,ID_1001171607388291072,"RT @fox6now: Man missing in Ellicott City, Maryland flood is Air Force veteran",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
77,ID_1001171790465589248,RT @WOODTV: #UPDATE: Man missing in Maryland floods identified as 39-year-old Air Force veteran and Army National Guardsman.,Maryland,Maryland,0.0,Maryland
79,ID_1001172243605610496,National Guardsman swept away by flash floods in Maryland after trying to rescue others: ▶  #EllicottCity,EllicottCity Maryland,Maryland El ##lic ##ott ##C ##ity,0.0,EllicottCity Maryland
81,ID_1001172851687378944,News conference in #EllicottCity Maryland as public officials give an update on the flash floods and search and rescue efforts both last night and today,Maryland,El ##lic ##ott ##C ##ity Maryland,1.0,EllicottCity Maryland
82,ID_1001173231062126592,#INPICTURES:Flash flooding in Maryland:,Maryland,Maryland,0.0,Maryland
88,ID_1001177012512350208,Maryland’s governor has declared a state of emergency after raging floodwaters surge through the streets of Elliott City. The community was wracked by similar flooding in 2016.,Elliott City Maryland,Maryland Elliott City,0.0,Elliott City Maryland
89,ID_1001177250824417280,"An 8-lane bridge in Minnesota collapsed on August 1, 2007. The replacement bridge opened on September 19, 2008.",Minnesota,Minnesota,0.0,Minnesota
92,ID_1001178636697956352,Man missing after Maryland city hit by true flash flood,Maryland,Maryland,0.0,Maryland
93,ID_1001179344360755200,RT @KTLAMorningNews: Maryland Governor Declares State of Emergency as Heavy Flooding Ravages Baltimore Region,Baltimore Maryland,Maryland Baltimore,0.0,Baltimore Maryland
94,ID_1001179661823508480,"WATCH: Officials give updates on Maryland flooding, say they have conducted around 300 rescues and are still trying to locate one missing man swept up in the floodwaters",Maryland,Maryland,0.0,Maryland
101,ID_1001185594410582016,"Ellicott City, Maryland flooding: Dangerous flood #waters hit city still recovering from 2016 flood: CBS News  #ecology",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
102,ID_1001188095637803008,"Man missing after 1,000-year flood ravages Ellicott City for 2nd time in two years  via @CBSNews WE ARE HERE. PLEASE DONT MAKE ANY SUDDEN MOVES REPENT AND PAY ZAKAAT! PENNANCE! OR. BE. DESTROYED. ὒ5ὣ1ὒ5",Ellicott City,El ##lic ##ott City,0.0,Ellicott City
103,ID_1001188535259615232,Missing Army National Guard member was trying to help a woman rescue her pet from flood waters in Elliott City.,Elliott City,Elliott City,0.0,Elliott City
104,ID_1001188720496672768,"Authorities were searching for a 39-year-old man reported missing after a flash flood raged through historic Ellicott City, Maryland, Sunday evening, severely damaging storefronts and building and sending residents and tourists scrambling for higher ground",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
105,ID_1001189128661295104,"At least one person is missing following Sundays devastating flooding in Ellicott City, Maryland:",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
106,ID_1001189263373979648,"Two cars lodged against a building because of the recent flooding in Ellicott City, Maryland.",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
107,ID_1001189452927160320,New video by CBS News: Wedding party evacuated in Maryland flooding,Maryland,Maryland,0.0,Maryland
109,ID_1001191374161629184,"RT @InsideEdition: Army National Guardsman, Eddison Hermond, is missing amid the Maryland floods.",Maryland,Maryland,0.0,Maryland
111,ID_1001195058392109056,"BREAKING: Maryland governor declares state of emergency in response to heavy rain, severe flooding in Ellicott City and areas across the state - ABC",Ellicott City Maryland,Maryland El ##lic ##ott City,0.0,Ellicott City Maryland
112,ID_1001196225650143232,"#MISSING National guardsman and Air Force Veteran Eddison Hermond was swept away while trying to help people during the flooding in Ellicott City, Maryland and is still missing.",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
116,ID_1001197273773215744,Marylands governor declared a state of emergency as flash flooding has devastated the town of Ellicott City #tictocnews,Ellicott City,El ##lic ##ott City,0.0,Ellicott City
117,ID_1001197466123980800,"Army National Guardsman missing after flash flooding strikes Ellicott City, Maryland for second time in two years --",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
118,ID_1001200767427072000,"Here is a live look of the damage that was caused by the flooding in Ellicott City, Maryland. Live video courtesy of Fox 5 DC.",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
119,ID_1001201308609732608,"One person was missing after floods rampaged through the downtown of Ellicott City, Maryland on Sunday. Nearly 7.5 inches of rain fell on the town in just eight hours. More rain is in the forecast",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
120,ID_1001201316193062912,"One man remained missing after flash flooding tore down historic Main Street in Ellicott City, Maryland, and left a community heartbroken at seeing severe damage less than two years after another devastating flood.",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
122,ID_1001203964648607744,Post Edited: Flash flooding in historic Maryland town leaves one person missing,Maryland,Maryland,0.0,Maryland
126,ID_1001205140878188544,"RT @AP: The Latest: One person is missing in flash flooding that struck historic Ellicott City, Maryland.",Ellicott Maryland,El ##lic ##ott City Maryland,0.5,Ellicott City Maryland
127,ID_1001205736268058624,Guardsman Hero Who Tried to Save Cat Feared Swept Away in Maryland’s Floods  via @TheDailyBeast,Maryland,Maryland,0.0,Maryland
129,ID_1001206992684363776,Rescuers Seeking Army National Guard Member Still Missing In Maryland Flooding,Maryland,Maryland,0.0,Maryland
131,ID_1001207264093593600,A state of emergency is in effect in a historic Maryland city after powerful flash flooding devastated its downtown. The water neared the second floor of buildings and swept away cars,Maryland,Maryland,0.0,Maryland
133,ID_1001208003285192704,"Sgt. Eddison Hermond is missing after being swept away by historic flooding in Ellicott City, Maryland. Witnesses say he was trying to help a woman rescue her cat",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
134,ID_1001208625895899136,"#UPDATE on @ABC7: A man in his 40s is missing from Ellicott City, Maryland, where this water was raging down Main Street. Video Courtesy: Baltimore Sun. #flooding #MarylandFlooding",Baltimore Ellicott City Maryland,El ##lic ##ott City Maryland Baltimore,0.0,Baltimore Ellicott City Maryland
137,ID_1001211717836156928,"A flash flood emergency has been issued for Ellicott City in Howard County, Maryland. Severe flooding and water rescues have been reported in the area.",Ellicott City Howard County Maryland,El ##lic ##ott City Howard County Maryland,0.0,Ellicott City Howard County Maryland
141,ID_1001215486745612288,"Devastating aftermath of historic flooding in Ellicott City, Maryland • • • • • #drones #dronesdaily #dronephotography #aerialphotography #dronegear #dronefly #dronelife #instadrone #dronestagram #droneoftheday #fromwhereidrone #airvuz #drone #dj",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
142,ID_1001215652097650688,"There has been terrible devastation after flood waters rushed through Ellicott City, Maryland, U.S., toppling buildings & upending cars & a months worth of rain has fallen in parts of the West Midlands, UK, in just an hour. Climate change is real. Weather patterns are changing.",Ellicott City Maryland U.S. UK West Midlands,El ##lic ##ott City Maryland U . S . West UK,0.14285714285714285,Ellicott City Maryland U.S. UK West
144,ID_1001216547241779200,"Rescuers are searching for a 39-year-old National Guard member Monday who was reported missing a day after he was swept away by fast-moving floodwaters in Maryland’s Ellicott City while attempting to rescue people during devastating floods, family and of",Ellicott City Maryland,Maryland El ##lic ##ott City,0.0,Ellicott City Maryland
145,ID_1001218367443828736,"Fort Lauderdale News Search Reviews (Flash Floods Rip Through Ellicott City, Maryland) Fort Lauderdale News -",Ellicott City Fort Lauderdale Maryland,Fort Lauderdale El ##lic ##ott City Maryland Fort Lauderdale,0.0,Ellicott City Fort Lauderdale Maryland
147,ID_1001219052621221888,"LATEST: National Guardsman reported missing after devastating flash flooding sweeps through Ellicott City, Maryland.",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
148,ID_1001220219413630976,Wow! We thought our flash flooding was bad in the Midlands yesterday. This is #FlashFlooding in Maryland USA where a state of Emergency has been declared. @GMB,Maryland USA,Maryland USA,0.0,Maryland USA
149,ID_1001221314336706560,"Footage of flooding in Ellicott City, Maryland courtesy of Zach Landow.",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
151,ID_1001223365062004736,AP: RT APSouthRegion: Aerial footage shows damage after flash flooding rips through central Maryland city.,Maryland city,Maryland city,0.0,Maryland city
162,ID_1001229776240201728,Rescuers seek 1 man still missing   H  #EllicottCity #Floods #HowardCountyMDNews #LatestNews #LocalNews,EllicottCity,El ##lic ##ott ##C ##ity,0.0,EllicottCity
163,ID_1001230402286161920,Edison Hermond National Guard missing in Maryland food Let us pray..,Maryland,Maryland,0.0,Maryland
165,ID_1001230468304572416,A Maryland man remains missing after Ellicott City’s destructive flash flooding,Ellicott City Maryland,Maryland El ##lic ##ott City,0.0,Ellicott City Maryland
167,ID_1001231015275311104,RT @FriendEden100: Climate Change: Maryland Governor Declares State of Emergency After 6 Hours Of Heavy Rain Caused Severe Flash Floods htt,Maryland,Maryland,0.0,Maryland
170,ID_1001233971315953664,"National Guardsman missing after flash flooding devastates Ellicott City, Maryland. @David_Kerley reports.",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
176,ID_1001242001331949568,Mean while in the world of things that’s actually happened A State of Emergency Has Been Declared as Flash Floods Strike a Maryland City - TIME,Maryland City,Maryland City,0.0,Maryland City
179,ID_1001243641820610560,This is my Town. Always the victim to natural forces while lacking the infrastructure changes and drainage re-direction and disbursement. My driveway was under a foot of raging water. Could not see the grass for the racing food water.,,,1.0, 
180,ID_1001243755142266880,"Governor declares emergency as Maryland floods: May 28 (UPI) -- Maryland Gov. Larry Hogan declared a state of emergency after flash flooding ripped through Ellicott City, submerging the first floor of businesses.  - UPI",Ellicott City Maryland,Maryland Maryland El ##lic ##ott City,0.0,Ellicott City Maryland
181,ID_1001244884160966656,WEATHER WATCH: Tuesday at 7:20 AM ET on #FaultLines - Emmy Award Winning Meteorologist Zach Daniel (@ZachDanielCBS6) talks #Flooding in #Baltimore/#Maryland and #Hurricane season kicking off with subtropical storm #Alberto.,,Baltimore Maryland,2.0,Baltimore Maryland
182,ID_1001245096690450432,"Good News: Most Beautiful Place, HdG Shines Blue, Duckling Rescue",,,1.0, 
184,ID_1001245514183135232,Howard County officials are searching for a Maryland National Guardsman reported missing from Sunday’s devastating floods. Police say he was helping search for a missing cat when he was last seen.,Howard Maryland,Howard County Maryland,0.5,Howard County Maryland
185,ID_1001246972412596224,Catastrophic flash floods hit outside Baltimore; crews conduct water rescues  #Maryland #News #Twitter #WorthyNews,Baltimore Maryland,Baltimore Maryland,0.0,Baltimore Maryland
186,ID_1001248057571336192,Catastrophic Floods: 1 Missing in MD From The Weather Channel iPhone App,MD,MD,0.0,MD
188,ID_1001250899719835648,US FLASH FLOODS 7  DRAMATIC VIDEO - Drone footage reveals extent of flood damage to Maryland city. STORY #4155985,Maryland,Maryland,0.0,Maryland
189,ID_1001251366201937920,"39-year-old Eddison Hermond of Severn, Maryland, was last seen trying to help a woman rescue her cat behind a restaurant while churning, brown waters ripped through Ellicott City’s flood-prone downtown.",Ellicott City Maryland,Severn Maryland El ##lic ##ott City,0.3333333333333333,Ellicott City Maryland Severn
190,ID_1001251539225325568,"Eddison Hermond, a National Guard sergeant who is believed to have been swept away while helping a woman find her cat during Ellicott City flooding, is still missing",Ellicott,El ##lic ##ott City,1.0,Ellicott City
191,ID_1001251792884191232,Man missing in Maryland flood was helping woman rescue cat  :Auto pickup by wikyou,Maryland,Maryland,0.0,Maryland
194,ID_1001253451257516032,DML TV: Aerial footage shows damage after flooding rips through Maryland city  via @realDennisLynch,Maryland,Maryland,0.0,Maryland
197,ID_1001255382860185600,Maryland flooding: Rescuers search for Air Force veteran as Ellicott City assesses damage,Ellicott City Maryland,Maryland El ##lic ##ott City,0.0,Ellicott City Maryland
199,ID_1001255802286559232,A man remained missing Monday after flash flooding tore down a historic main street in a picturesque Maryland town and left a community heartbroken at seeing more devastation less than two years after rebuilding from another massive flood. Story:,Maryland,Maryland,0.0,Maryland
200,ID_1001258377337561088,Fears for hero soldier swept away in Maryland flash floods,Maryland,Maryland,0.0,Maryland
201,ID_1001258698772221952,I couldnt watch the whole video. HeartὉ4Breaking. Officials said National Guard -Eddison Hermond- was holding a door to a restaurant closed until he and others left to assist a woman whose cat had gone missing. Witnesses said they saw Hermond go under water ὢ2ὢDὢ2 PrayersὤFἿB,,,1.0, 
203,ID_1001259874360201216,The governor of Maryland declared a state of emergency after severe flash floods,Maryland,Maryland,0.0,Maryland
205,ID_1001260095223758848,"One person is missing after a flash flood in Ellicott City, Maryland. Its the second time the city has dealt with catastrophic damage in just two years.",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
206,ID_1001264739765415936,Ocean Sciences Article of the Day - Man missing after Maryland flash flood was helping woman rescue her cat (The Guardian),Maryland,Maryland,0.0,Maryland
208,ID_1001269753045028864,"#Flashflood tears out street poles on #EllicottCity street A flash flood devastated the main street in Ellicott City, #Maryland, just two years after another devastating flooding event hit the Baltimore suburb.",Baltimore Ellicott City EllicottCity Maryland,El ##lic ##ott ##C ##ity El ##lic ##ott City Maryland Baltimore,0.0,Baltimore Ellicott City EllicottCity Maryland
210,ID_1001270650462449664,"Rescue workers are searching for a National Guardsman who went missing after flash floods swept through Ellicott City, Maryland, on Sunday.",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
212,ID_1001271954014392320,One person is missing after serious floods in central Maryland. Streets turned into rapids after 8 inches of rain fell in 3 hours.,Maryland,Maryland,0.0,Maryland
213,ID_1001272833975242752,Officials continue to aggressively search for National Guardsman reported missing in Ellicott City flood,Ellicott City,El ##lic ##ott City,0.0,Ellicott City
214,ID_1001273516241702912,‘Washed away real quick’: Missing Maryland resident and U.S. military member Eddison Hermond was trying to help woman trapped by flood in Ellicott City:,Ellicott Maryland,Maryland El ##lic ##ott City,0.5,Ellicott City Maryland
216,ID_1001275888409997312,God bless this kind man..i hope so much some way he is found alive. Rescuers seek 1 man still missing after Maryland flash flood,Maryland,Maryland,0.0,Maryland
217,ID_1001276312235970560,#NationalGuard member and #AirforceVeteran #EddisonHermond is missing while doing rescue work in devastating historic flood in Maryland. Reportedly he was helping a woman find her lost pet. #PrayforEddison,Maryland,Maryland,0.0,Maryland
220,ID_1001278542347415552,"Authorities in Maryland say a 39-year-old man is missing after heavy flooding inundated the streets of Ellicott City, the town that had only recently recovered from flooding in 2016",Ellicott City Maryland,Maryland El ##lic ##ott City,0.0,Ellicott City Maryland
222,ID_1001280784261566464,"In Maryland, Ellicott City Gets Hit By Devastating Flash Floods, Again: People in Ellicott City, Md., are surveying the damage to their homes and businesses after a historic flash flood raged through the city — the second in as many years. NPRs Mary",Ellicott City Maryland,Maryland El ##lic ##ott City El ##lic ##ott City M,0.3333333333333333,Ellicott City Maryland Md.
223,ID_1001281739233247232,RT @WashTimes: Officials search for missing National Guardsman swept away in Ellicott City flood.  #EllicottCityFlood,Ellicott,El ##lic ##ott City,1.0,Ellicott City
226,ID_1001285030637965312,"One man is missing after devastating flash flooding swept through Ellicott City, Maryland, turning streets into rivers and carrying away cars.",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
228,ID_1001285366241005568,"Ellicott City, Md., Suffers Flash Flood, Ravaging Main Street; 1 Man Missing",Ellicott City Md.,El ##lic ##ott City M,0.0,Ellicott City Md.
233,ID_1001296492546658304,"RT @disasteraware: #FLOOD New Alert: Flooding - Maryland, United States, Severity: WARNING",Maryland United States,Maryland United States,0.6666666666666666,Maryland States United
234,ID_1001297667685847040,"One person is reported missing following a massive storm that brought flash flooding to Ellicott City, Maryland, a Howard County official says",Ellicott Howard Maryland,El ##lic ##ott City Maryland Howard,0.3333333333333333,Ellicott City Howard Maryland
238,ID_1001302933521170432,Historic city in Maryland is devastated by extreme flash floods,Maryland,Maryland,0.0,Maryland
242,ID_1001306810198839296,"Hey guys, I really need your help. Here in Maryland we’ve been hit with this storm pretty bad. A city I love is currently ripped apart from flooding. If you can’t donate with the link below, please retweet to get the word out. Thank you. ",Maryland,Maryland,0.0,Maryland
243,ID_1001307181675896832,RT @DBoboshie_: I’m trying to understand what rain did all that damage in Maryland !!,Maryland,Maryland,0.0,Maryland
245,ID_1001310918800748544,@FoxNews Donate the proceeds to clothing of the people in Maryland whove lost everything in floods.,Maryland,Maryland,0.0,Maryland
248,ID_1001318611116478464,"Ellicott City, MD got pummeled yesterday by flash flooding, again.",Ellicott City MD,El ##lic ##ott City MD,0.0,Ellicott City MD
251,ID_1001323269918679040,RT @HomefrontHugs: #MissingAirman #Maryland #USAF #NationalGuard #MemorialDay help RT and find him please!  http,Maryland,Maryland,0.0,Maryland
252,ID_1001329975256141824,"Watch Cars swept away as flash floods rage through Ellicott City, Maryland on YouTube -",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
254,ID_1001338166362554368,"Newsweek Man Remains Missing as Ellicott City, Maryland, Begins Cleaning Up After Flood The Weather Channel For the second time in two years, Ellicott City, Maryland, dealt with extreme flooding Sunday after a half-foot of rain fell in two hours.",Ellicott City Maryland,El ##lic ##ott City Maryland El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
255,ID_1001338686376525824,"Flash floods ravage Maryland town: A state of emergency was declared in Howard County, as a massive storm drenched the Baltimore region, triggering flash floods in Ellicott City and leaving one person missing.",Baltimore Ellicott City Howard Maryland,Maryland Howard County Baltimore El ##lic ##ott City,0.2,Baltimore Ellicott City Howard County Maryland
261,ID_1001352725978808320,"Man Remains Missing as Ellicott City, Maryland, Begins Cleaning Up After Flood @weatherchannel ? utm_medium=social&utm_source=twitter&cm_ven=Twitter&cm_cat=;cm_pla=tw_feed&cm_ite=tw_social_tweet Pray that hes foundὤF",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
262,ID_1001358046231257088,Man missing after Maryland flash flood was helping woman rescue her cat  #AGENDA21 #SUSTAINABILITY,Maryland,Maryland,0.0,Maryland
263,ID_1001359049089265664,"Maryland county grapples with devastation left behind by flash flood One man remained missing after flash flooding tore down historic Main Street in Ellicott City, Maryland.",Ellicott City Maryland,Maryland El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
265,ID_1001359542880538624,#919Blog ὊC ABC11 What we know about Maryland National Guardsman missing after Ellicott City flood ” #RaleighNC #DurhamNC #RDU #Triangle #NC .,Ellicott Maryland,Maryland El ##lic ##ott City,0.5,Ellicott City Maryland
268,ID_1001360608430829568,Washed away real quick: Missing Md. man was trying to help woman trapped by flood Washington Post Historic Maryland Town Hit by a Second Devastating Flood Since 2016 Wall Street Journal They have,Maryland Washington,Washington Maryland,0.0,Maryland Washington
269,ID_1001361276428222464,"One missing in raging flood waters that washed out Ellicott City, Maryland",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
270,ID_1001366994271207424,"Significant damage in Ellicott City, Maryland after major floodwaters tore through the area this holiday weekend.",Ellicott City Maryland,El ##lic ##ott City Maryland,0.0,Ellicott City Maryland
