,text,location,raw_prediction,prediction,cleaned_text,WER
10,"Rescuers are searching for a 39-year-old National Guard member Monday who was reported missing a day after he was swept away by fast-moving floodwaters in Maryland’s Ellicott City while attempting to rescue people during devastating floods, family and of",Ellicott City Maryland,Maryland El ##lic ##ott City,City Maryland Ellicott,Rescuers are searching for a 39 year old National Guard member Monday who was reported missing a day after he was swept away by fast moving floodwaters in Maryland Ellicott City while attempting to rescue people during devastating floods family and of,0.6666666666666666
11,"Fort Lauderdale News Search Reviews (Flash Floods Rip Through Ellicott City, Maryland) Fort Lauderdale News -",Ellicott City Fort Lauderdale Maryland,Fort Lauderdale El ##lic ##ott City Maryland Fort Lauderdale,Ellicott City Fort Lauderdale,Fort Lauderdale News Search Reviews Flash Floods Rip Through Ellicott City Maryland Fort Lauderdale News  ,0.2
12,Howard County officials are searching for a Maryland National Guardsman reported missing from Sunday’s devastating floods. Police say he was helping search for a missing cat when he was last seen.,Howard Maryland,Howard County Maryland,Howard County Maryland,Howard County officials are searching for a Maryland National Guardsman reported missing from Sunday devastating floods Police say he was helping search for a missing cat when he was last seen,0.5
13,US FLASH FLOODS 7  DRAMATIC VIDEO - Drone footage reveals extent of flood damage to Maryland city. STORY #4155985,Maryland,Maryland city,Maryland city,US FLASH FLOODS 7 DRAMATIC VIDEO   Drone footage reveals extent of flood damage to Maryland city STORY 4155985,1.0
14,"39-year-old Eddison Hermond of Severn, Maryland, was last seen trying to help a woman rescue her cat behind a restaurant while churning, brown waters ripped through Ellicott City’s flood-prone downtown.",Ellicott City Maryland,Severn Maryland El ##lic ##ott City,Ellicott City Severn Maryland,39 year old Eddison Hermond of Severn Maryland was last seen trying to help a woman rescue her cat behind a restaurant while churning brown waters ripped through Ellicott City flood prone downtown,0.3333333333333333
15,"Eddison Hermond, a National Guard sergeant who is believed to have been swept away while helping a woman find her cat during Ellicott City flooding, is still missing",Ellicott,El ##lic ##ott City,Ellicott City,Eddison Hermond a National Guard sergeant who is believed to have been swept away while helping a woman find her cat during Ellicott City flooding is still missing,1.0
16,"#Flashflood tears out street poles on #EllicottCity street A flash flood devastated the main street in Ellicott City, #Maryland, just two years after another devastating flooding event hit the Baltimore suburb.",Baltimore Ellicott City EllicottCity Maryland,El ##lic ##ott ##C ##ity El ##lic ##ott City Maryland Baltimore,Baltimore EllicottCity Maryland,Flashflood tears out street poles on EllicottCity street A flash flood devastated the main street in Ellicott City Maryland just two years after another devastating flooding event hit the Baltimore suburb,0.4
17,‘Washed away real quick’: Missing Maryland resident and U.S. military member Eddison Hermond was trying to help woman trapped by flood in Ellicott City:,Ellicott Maryland,Maryland El ##lic ##ott City,Ellicott City Maryland,‘Washed away real quick Missing Maryland resident and U.S. military member Eddison Hermond was trying to help woman trapped by flood in Ellicott City,0.5
18,"In Maryland, Ellicott City Gets Hit By Devastating Flash Floods, Again: People in Ellicott City, Md., are surveying the damage to their homes and businesses after a historic flash flood raged through the city — the second in as many years. NPRs Mary",Ellicott City Maryland,Maryland El ##lic ##ott City El ##lic ##ott City M,Maryland Ellicott,In Maryland Ellicott City Gets Hit By Devastating Flash Floods Again People in Ellicott City Md. are surveying the damage to their homes and businesses after a historic flash flood raged through the city — the second in as many years NPRs Mary,1.0
19,RT @WashTimes: Officials search for missing National Guardsman swept away in Ellicott City flood.  #EllicottCityFlood,Ellicott,El ##lic ##ott City,Ellicott EllicottCityFlood,RT Officials search for missing National Guardsman swept away in Ellicott City flood EllicottCityFlood,1.0
20,"Ellicott City, Md., Suffers Flash Flood, Ravaging Main Street; 1 Man Missing",Ellicott City Md.,El ##lic ##ott City M,Ellicott City Missing,Ellicott City Md. Suffers Flash Flood Ravaging Main Street 1 Man Missing,0.3333333333333333
21,"One person is reported missing following a massive storm that brought flash flooding to Ellicott City, Maryland, a Howard County official says",Ellicott Howard Maryland,El ##lic ##ott City Maryland Howard,Ellicott City Howard Maryland,One person is reported missing following a massive storm that brought flash flooding to Ellicott City Maryland a Howard County official says,0.3333333333333333
22,"Flash floods ravage Maryland town: A state of emergency was declared in Howard County, as a massive storm drenched the Baltimore region, triggering flash floods in Ellicott City and leaving one person missing.",Baltimore Ellicott City Howard Maryland,Maryland Howard County Baltimore El ##lic ##ott City,Baltimore Ellicott City Howard County Maryland,Flash floods ravage Maryland town A state of emergency was declared in Howard County as a massive storm drenched the Baltimore region triggering flash floods in Ellicott City and leaving one person missing,0.2
23,"Maryland county grapples with devastation left behind by flash flood One man remained missing after flash flooding tore down historic Main Street in Ellicott City, Maryland.",Ellicott City Maryland,Maryland El ##lic ##ott City Maryland,Ellicott Maryland,Maryland county grapples with devastation left behind by flash flood One man remained missing after flash flooding tore down historic Main Street in Ellicott City Maryland,0.3333333333333333
24,#919Blog ὊC ABC11 What we know about Maryland National Guardsman missing after Ellicott City flood ” #RaleighNC #DurhamNC #RDU #Triangle #NC .,Ellicott Maryland,Maryland El ##lic ##ott City NC,Ellicott City Maryland RaleighNC,919Blog ὊC ABC11 What we know about Maryland National Guardsman missing after Ellicott City flood ” RaleighNC DurhamNC RDU Triangle NC ,1.0
25,"One missing in raging flood waters that washed out Ellicott City, Maryland",Ellicott City Maryland,El ##lic ##ott City,Ellicott City,One missing in raging flood waters that washed out Ellicott City Maryland,0.3333333333333333
26,"Ellicott City flood: Man missing after 1,000-year torrents devastate Maryland",Ellicott City Maryland,El ##lic ##ott City,Ellicott City,Ellicott City flood Man missing after 1000 year torrents devastate Maryland,0.3333333333333333
27,I liked a @YouTube video  Roads submerged as severe flash flooding hits Maryland,Maryland,, ,,1.0
28,"For the second time in two years, flash floods rip through Ellicott City, Maryland",Ellicott City Maryland,El ##lic ##ott City,Ellicott City,For the second time in two years flash floods rip through Ellicott City Maryland,0.3333333333333333
29,"In Maryland, Elliot City was devastated by floods over the weekend. Will this town choose to rebuild or retreat in the face of disastrous climate change?",Elliot City Maryland,Maryland Elliot,Maryland Elliot,In Maryland Elliot City was devastated by floods over the weekend Will this town choose to rebuild or retreat in the face of disastrous climate change,1.0
30,One man missing after devastating flash floods in Maryland - : NBC 10 Philadelphia One man missing after devastating flash floods in Maryland  The missing man - 39-year-old Eddison Hermond - was last seen,Maryland Philadelphia,Maryland Philadelphia Maryland,Maryland,One man missing after devastating flash floods in Maryland    NBC 10 Philadelphia One man missing after devastating flash floods in Maryland The missing man   39 year old Eddison Hermond   was last seen,0.5
31,"All of these major disaster are happening because that Nibiru system is near and it has a strong thresh hold on planet Earth. ⚡️ Heavy rain and flash flooding devastate Ellicott City, Maryland”",Ellicott City Maryland,El ##lic ##ott City Maryland,Ellicott City Maryland”,All of these major disaster are happening because that Nibiru system is near and it has a strong thresh hold on planet Earth ⚡️ Heavy rain and flash flooding devastate Ellicott City Maryland”,0.3333333333333333
32,Latest: Maryland flooding: Drone footage shows extent of damage in Ellicott City,Ellicott City Maryland,Maryland El ##lic ##ott,Ellicott Maryland,Latest Maryland flooding Drone footage shows extent of damage in Ellicott City,0.3333333333333333
33,"RT @arirangtvnews: ▪ MARYLAND FLOOD Devastating #flood hits Ellicott City, #Maryland, one missing",Ellicott MARYLAND Maryland,MA ##R ##Y ##LA ##ND El ##lic ##ott City Maryland,Ellicott City MARYLAND Maryland,RT ▪ MARYLAND FLOOD Devastating flood hits Ellicott City Maryland one missing,0.3333333333333333
34,Body found in Patapsco River days after Ellicott City flooding  via @WUSA9,Ellicott City Patapsco River,Pat ##ap ##sco El ##lic ##ott City,Ellicott City Patapsco,Body found in Patapsco River days after Ellicott City flooding via,0.25
35,"Updating our previous story, the body found by searches in Marylands Patapsco River has been identified as Sgt. Eddison Hermond, who has been missing since Sundays flash flood in Ellicott City.",Ellicott City Marylands Patapsco River,Maryland Pat ##ap ##sco El ##lic ##ott City,Ellicott City Marylands Patapsco,Updating our previous story the body found by searches in Marylands Patapsco River has been identified as Sgt Eddison Hermond who has been missing since Sundays flash flood in Ellicott City,0.2
36,"The Latest: Police say a body found in the Patapsco River has been identified as 39-year-old Eddison Hermond, the sole person reported missing following the torrential rains that prompted destructive flash flooding in a historic Maryland town.",Maryland Patapsco River,Pat ##sco Maryland,Maryland Patapsco,The Latest Police say a body found in the Patapsco River has been identified as 39 year old Eddison Hermond the sole person reported missing following the torrential rains that prompted destructive flash flooding in a historic Maryland town,0.3333333333333333
37,"RT @AP: BREAKING: Police say body found in Patapsco River is Eddison Hermond, who was reported missing in Maryland flash floods.",Maryland Patapsco River,Pat Maryland,Maryland Patapsco,RT BREAKING Police say body found in Patapsco River is Eddison Hermond who was reported missing in Maryland flash floods,0.3333333333333333
38,"The body of 39-year-old Eddison Hermond, a National Guard member and @usairforce vet, was found by searchers scouring the Patapsco River. He was last seen early Sunday evening trying to help a woman while seething brown waters surged through Ellicott City.",Ellicott City Patapsco River,Pat ##sco El ##lic ##ott City,Ellicott City scouring,The body of 39 year old Eddison Hermond a National Guard member and vet was found by searchers scouring the Patapsco River He was last seen early Sunday evening trying to help a woman while seething brown waters surged through Ellicott City,0.5
39,"#BREAKING: Two days after devastating flash floods in Ellicott City, Maryland, searchers have found the body of a man in the Patapsco River.",Ellicott City Maryland Patapsco River,El ##lic ##ott City Maryland Pat ##sco,Ellicott City Maryland Patapsco,BREAKING Two days after devastating flash floods in Ellicott City Maryland searchers have found the body of a man in the Patapsco River,0.2
40,#UPDATE: National Guardsmans body found days after he was swept away during flash flood rescue in Maryland,Maryland,, ,,1.0
41,Clean up operation continues after floods rip through Maryland,Maryland,, ,,1.0
42,"The National Guardman that was swept away by flood waters in Ellicott City, Maryland while trying to rescue a woman and her cat was found dead Tuesday in the Patapsco River, Howard County Police said.",Ellicott City Howard County Maryland Patapsco River,El ##lic ##ott City Maryland Pat ##sco Howard County,Ellicott City Howard County Maryland Patapsco,The National Guardman that was swept away by flood waters in Ellicott City Maryland while trying to rescue a woman and her cat was found dead Tuesday in the Patapsco River Howard County Police said,0.14285714285714285
43,"It takes 1.2 secs to retweet and help find missing NAEEMAH ROCHON, 15 yrs old, from Laurel, Maryland missing since May 31, 2014.",Maryland,Laurel Maryland,Laurel Maryland,It takes 12 secs to retweet and help find missing NAEEMAH ROCHON 15 yrs old from Laurel Maryland missing since May 31 2014,1.0
44,swept away while trying to rescue people during violent floods in Marylands Ellicott City  #TheResistance #Resistance #resist #altGov #AltFam #WeAreAltGov #FBR Angels bless his spirit. Possum Forest is very sad right now.,Ellicott City Marylands,Maryland ##s El ##lic ##ott City,City Marylands Ellicott,swept away while trying to rescue people during violent floods in Marylands Ellicott City TheResistance Resistance resist altGov AltFam WeAreAltGov FBR Angels bless his spirit Possum Forest is very sad right now,0.6666666666666666
45,"RIP Eddison Alexander Hermond, 39, who went missing during the Ellicott City flood, was found by searchers today in the Patapsco River, just across the Baltimore County line #ECFlood",Baltimore County Ellicott City,El ##lic ##ott City Pat ##ap ##sco Baltimore County,Baltimore County Ellicott City Patapsco,RIP Eddison Alexander Hermond 39 who went missing during the Ellicott City flood was found by searchers today in the Patapsco River just across the Baltimore County line ECFlood,0.25
46,"39-year-old Eddison Hermond disappeared late Sunday afternoon, following torrential rains that prompted destructive flash flooding. He was a veteran of the U.S. Air Force and a sergeant in the Maryland Army National Guard,",Maryland U.S.,U S Maryland,Maryland Sunday,39 year old Eddison Hermond disappeared late Sunday afternoon following torrential rains that prompted destructive flash flooding He was a veteran of the U.S. Air Force and a sergeant in the Maryland Army National Guard,0.5
47,"Flags lowered to half-staff for Sgt. Eddison Hermond in Maryland and Howard County. Sgt. Hermond, of the Maryland National Guard, died during rescue effort in Ellicott City flood.",Ellicott City Howard County Maryland,Maryland Howard County Maryland El ##lic ##ott City,Ellicott City Howard Maryland,Flags lowered to half staff for Sgt Eddison Hermond in Maryland and Howard County Sgt Hermond of the Maryland National Guard died during rescue effort in Ellicott City flood,0.2
48,"2 years ago, floods hit #EllicottCity, the same area in Maryland that flooded Sunday. That event was called a 1,000-year flood & early reports say this year’s damage to infrastructure is far worse. How should #stormwater design prepare for atypical storms?",Maryland,El ##lic ##ott ##C ##ity Maryland,EllicottCity Maryland,2 years ago floods hit EllicottCity the same area in Maryland that flooded Sunday That event was called a 1000 year flood & early reports say this year damage to infrastructure is far worse How should stormwater design prepare for atypical storms,1.0
49,"An Exeter man was among those who had to be rescued from severe flooding in Ellicott City, Maryland:  #exeternh #flooding #EllicottCity #EllicottCityFlood",Ellicott City Maryland,El ##lic ##ott City Maryland El ##lic ##ott ##C ##ity,Ellicott City EllicottCityFlood,An Exeter man was among those who had to be rescued from severe flooding in Ellicott City Maryland exeternh flooding EllicottCity EllicottCityFlood,0.3333333333333333
50,RT @feralmagick:  find a fundraiser to attend!! Help support our community #EllicottCity #EllicottCityFlood /,EllicottCity,El ##lic ##ott ##C ##ity,EllicottCity EllicottCityFlood,RT find a fundraiser to attend Help support our community EllicottCity EllicottCityFlood  ,1.0
51,"The devastating flooding in Maryland over Memorial Day Weekend not only sent a wall of water through downtown Ellicott City, Md., but reignited a debate over global warming and floods.",Ellicott City Maryland Md.,Maryland El ##lic ##ott City M,Ellicott Maryland,The devastating flooding in Maryland over Memorial Day Weekend not only sent a wall of water through downtown Ellicott City Md. but reignited a debate over global warming and floods,0.5
52,@GetalongDRescue Maryland. Here is Dante a rescue from #Arkansas,Arkansas Maryland,Maryland,Maryland,Maryland Here is Dante a rescue from Arkansas,0.5
53,"JUST IN: Flash Flood Warning issued for Frederick, Washington counties in Maryland, and Fauquier and Loudoun counties in Virginia until 8:15 pm  #fox5dc",Fauquier Loudoun Maryland Virginia Washington,Frederick Washington Maryland F ##au ##er Lou ##do ##un Virginia,Frederick Washington Loudoun Virginia counties,JUST IN Flash Flood Warning issued for Frederick Washington counties in Maryland and Fauquier and Loudoun counties in Virginia until 815 pm fox5dc,0.8
54,@KevinRothWx Flash floods in Maryland Ellicott City destroyed again People have to be on roads to get to gm Me thinks ppd,Ellicott City Maryland,Maryland El ##lic ##ott City,City Maryland Ellicott,Flash floods in Maryland Ellicott City destroyed again People have to be on roads to get to gm Me thinks ppd,0.6666666666666666
55,"Flash floods ripped through Ellicott City, Maryland, on Sunday, toppling buildings and upending cars, as the nearby Patapsco River swelled to a record-breaking level. The devastation comes barely two years after the last flood that ravaged the city.",Ellicott City Maryland Patapsco River,El ##lic ##ott City Maryland ##sco,Ellicott City Maryland Patapsco,Flash floods ripped through Ellicott City Maryland on Sunday toppling buildings and upending cars as the nearby Patapsco River swelled to a record breaking level The devastation comes barely two years after the last flood that ravaged the city,0.2
56,RT @XNSNews: Marylands Ellicott City inundated by flash floods; crews conduct water rescues  #FoxNews,Ellicott City Marylands,Maryland ##s El ##lic ##ott City,City Marylands Ellicott,RT Marylands Ellicott City inundated by flash floods crews conduct water rescues FoxNews,0.6666666666666666
57,WHAT THE HECK!! #news #RealNews #Unreported FLOODING IN MARYLAND USA! Crazy flooding!! ὄ9,MARYLAND USA,MA ##R ##Y ##LA ##ND USA,MARYLAND USA RealNews,WHAT THE HECK news RealNews Unreported FLOODING IN MARYLAND USA Crazy flooding ὄ9,0.5
58,"@FoxNews Hey how about focusing on the 1,500 missing immigrant children who were taken away from their parents, or the over 5,000 deaths in Puerto Rico because of this administration, or the Flash Flood in Elliot City Maryland.",Maryland Puerto Rico,Puerto Rico Elliot Maryland,Elliot Maryland Puerto Rico,Hey how about focusing on the 1500 missing immigrant children who were taken away from their parents or the over 5000 deaths in Puerto Rico because of this administration or the Flash Flood in Elliot City Maryland,0.3333333333333333
59,"Timely info from Sustainable Maryland on the recent floods in Maryland, and why we’d better get proactive in our planning & risk assessment! Township of Monroe Sustainable Jersey Rutgers",Jersey Maryland Township of Monroe,Maryland Maryland Jersey,Jersey Maryland,Timely info from Sustainable Maryland on the recent floods in Maryland and why we better get proactive in our planning & risk assessment Township of Monroe Sustainable Jersey Rutgers,0.6
60,"UNITED HELP,INCORPORATED McPeeks Helping Hands And Terri Jean McPeek Merrills Pet Rescue 9000 Briarcroft Lane Apt 124 Laurel, Maryland 20708-1363 301-490-3333 United Help, Incorporated, is a 501(c)(3) Tax Status Youth",Maryland,Laurel Maryland,Laurel Maryland,UNITED HELPINCORPORATED McPeeks Helping Hands And Terri Jean McPeek Merrills Pet Rescue 9000 Briarcroft Lane Apt 124 Laurel Maryland 20708 1363 301 490 3333 United Help Incorporated is a 501c3 Tax Status Youth,1.0
61,"Flood Warning for parts of #Loudoun: SOME LOCATIONS THAT MAY EXPERIENCE FLOODING INCLUDE LEESBURG, LANSDOWNE, PURCELLVILLE, MIDDLEBURG, OATLANDS, BELMONT, HAMILTON, SAINT LOUIS, PAEONIAN SPRINGS, GLEEDSVILLE, WATERFORD, LUCKETTS, ALDIE, PHILOMONT, LINCOLN AND HUGHESVILLE.",ALDIE BELMONT GLEEDSVILLE HAMILTON HUGHESVILLE LANSDOWNE LEESBURG LINCOLN LUCKETTS Loudoun MIDDLEBURG OATLANDS PAEONIAN SPRINGS PHILOMONT PURCELLVILLE SAINT LOUIS WATERFORD,Lou ##do ##un L ##EE ##SB ##UR ##G LA ##NS ##OW P ##UR ##CE ##LL ##VI ##LL ##E MI ##D ##D ##LE ##B ##UR ##G O ##AT ##LA ##ND ##S B ##EL ##MO ##NT H ##AM ##IL ##TO ##N SA ##IN ##T L ##O ##UI ##S PA ##E ##ON ##IA ##N,BELMONT HAMILTON EXPERIENCE FLOODING LANSDOWNE LEESBURG LOCATIONS Loudoun PURCELLVILLE SOME,Flood Warning for parts of Loudoun SOME LOCATIONS THAT MAY EXPERIENCE FLOODING INCLUDE LEESBURG LANSDOWNE PURCELLVILLE MIDDLEBURG OATLANDS BELMONT HAMILTON SAINT LOUIS PAEONIAN SPRINGS GLEEDSVILLE WATERFORD LUCKETTS ALDIE PHILOMONT LINCOLN AND HUGHESVILLE,0.7368421052631579
62,Light to sometimes moderate rain finally moving into the Beltway areas and downtown DC between now and midnight. Heaviest storms are in northern Maryland moving into Pennsylvania.,Maryland Pennsylvania,DC Maryland Pennsylvania,DC Maryland Pennsylvania,Light to sometimes moderate rain finally moving into the Beltway areas and downtown DC between now and midnight Heaviest storms are in northern Maryland moving into Pennsylvania,0.5
63,"NEW: Flood warning (green box below) issued for southern Prince Georges & western Charles counties in Maryland until 7pm tonight due to heavy rain over the region. Reminder to please DO NOT cross flooded roadways. Turn around, don’t drown. ἲ7⛈",Maryland,Prince Charles Maryland,Charles Maryland Prince,NEW Flood warning green box below issued for southern Prince Georges & western Charles counties in Maryland until 7pm tonight due to heavy rain over the region Reminder to please DO NOT cross flooded roadways Turn around don drown ἲ7⛈,2.0
64,WEATHER ALERT: Flood Warning issued for parts of Prince Georges and Charles counties in Maryland. Flash flooding reported in PG County,Charles Maryland PG County Prince Georges,Prince Georges Charles Maryland,Charles Maryland Prince Georges,WEATHER ALERT Flood Warning issued for parts of Prince Georges and Charles counties in Maryland Flash flooding reported in PG County,0.3333333333333333
65,Flash #flood warning in effect for parts of #Maryland - here’s a view of the heavy rain pounding #Baltimore- @MegWJZ is tracking the system @wjz #WJZ #weatheralert,Baltimore- Maryland,Maryland Baltimore,Baltimore Maryland,Flash flood warning in effect for parts of Maryland   here a view of the heavy rain pounding Baltimore  is tracking the system WJZ weatheralert,0.5
66,"MPD 0261 SE #PENNSYLVANIA, N #DELAWARE INTO #MARYLAND, #DC & CNTRL/E #VIRGINIA FLASH FLOODING POSSIBLE VALID TIL 0510 AM EDT ADDITIONAL FLASH FLOODING WILL BE POSSIBLE OVER THE NEXT FEW HOURS. AN ADDITIONAL 2-4 IN WILL BE POSSIBLE ON TOP OF SATURATED SOILS",DELAWARE MARYLAND PENNSYLVANIA VIRGINIA,P ##EN ##NS ##Y ##L ##VA ##NI ##A DE ##LA ##WA ##RE MA ##R ##Y ##LA ##ND VI ##R ##GI ##NI ##A VA ##L ##ID,DELAWARE MARYLAND PENNSYLVANIA VALID,MPD 0261 SE PENNSYLVANIA N DELAWARE INTO MARYLAND DC & CNTRL E VIRGINIA FLASH FLOODING POSSIBLE VALID TIL 0510 AM EDT ADDITIONAL FLASH FLOODING WILL BE POSSIBLE OVER THE NEXT FEW HOURS AN ADDITIONAL 2 4 IN WILL BE POSSIBLE ON TOP OF SATURATED SOILS,0.25
67,"MPD 0263 N & E-CNTRL #VIRGINIA, #DC, #MARYLAND, #DELAWARE FLASH FLOODING POSS VALID TIL 0400 PM EDT COMBO OF DEEP TROPICAL MOISTURE, SURFACE FRONTAL BOUNDARY, & LOW-LEVEL CIRCULATION WILL SUPPORT LOCALIZED AREAS OF FLASH FLOODING INTO THE AFTERNOON. #WRN",DC DELAWARE MARYLAND VIRGINIA,VI ##R ##GI ##NI ##A DC MA ##R ##Y ##LA ##ND DE ##LA ##WA ##RE,MARYLAND DELAWARE VIRGINIA DC,MPD 0263 N & E-CNTRL VIRGINIA DC MARYLAND DELAWARE FLASH FLOODING POSS VALID TIL 0400 PM EDT COMBO OF DEEP TROPICAL MOISTURE SURFACE FRONTAL BOUNDARY & LOW-LEVEL CIRCULATION WILL SUPPORT LOCALIZED AREAS OF FLASH FLOODING INTO THE AFTERNOON WRN,0.75
68,FLOODING: #MontgomeryCounty #Maryland I-495 at Route 29 end of the ramp merge lane to 495 flooded causing vehicles to swerve out onto 495 Without merging,I-495 at Route 29 Maryland MontgomeryCounty,Montgomery ##C ##ou ##nt ##y Maryland,MontgomeryCounty Maryland,FLOODING MontgomeryCounty Maryland I-495 at Route 29 end of the ramp merge lane to 495 flooded causing vehicles to swerve out onto 495 Without merging,0.8333333333333334
69,"Heavy rain, floods swamp Mid-Atlantic: Driving rain led to dangerous floods in the Mid-Atlantic on Sunday, adding to the weather misery across the sodden region. Flood warnings were in effect Sunday in Maryland, Virginia, West Virginia and Washington,",Maryland Virginia Washington West Virginia,Maryland Virginia West Virginia Washington,Maryland Virginia Washington,Heavy rain floods swamp Mid Atlantic Driving rain led to dangerous floods in the Mid Atlantic on Sunday adding to the weather misery across the sodden region Flood warnings were in effect Sunday in Maryland Virginia West Virginia and Washington,0.4
70,"Maryland Department of Transportation (MDOT) State Highway Administration (SHA) reports all eastbound and westbound lanes on US-50 at Kenilworth Avenue (MD-201) in Prince George’s County, MD are closed due to flooding.",Maryland Prince George’s,Maryland Prince George ’ s County MD,MD-201 Maryland Prince George Transportation,Maryland Department of Transportation MDOT State Highway Administration SHA reports all eastbound and westbound lanes on US-50 at Kenilworth Avenue MD-201 in Prince George County MD are closed due to flooding,1.0
71,"ELLICOTT CITY, Md. (WJZ)– Last Sunday, heavy down pours caused major flooding in both Howard and Baltimore Counties. Main Street in Ellicott City was slammed by the deluge that led to the death of a Maryland National  via",Baltimore Ellicott City Maryland,##LL ##IC ##OT ##T C ##IT ##Y Baltimore El ##lic ##ott City Maryland,Baltimore ELLICOTT CITY Ellicott City Maryland,ELLICOTT CITY Md. WJZ– Last Sunday heavy down pours caused major flooding in both Howard and Baltimore Counties Main Street in Ellicott City was slammed by the deluge that led to the death of a Maryland National via,0.5
72,"At 6:46 AM, Williamsport [Washington Co, MD] DEPT OF HIGHWAYS reports FLOOD. MARYLAND ROUTE 68 FLOODED AND CLOSED DUE TO BACKWATER FLOODING OF CONOCOCHEAGUE CREEK JUST UPSTREAM OF THE POTOMAC RIVER.",CONOCOCHEAGUE CREEK MARYLAND POTOMAC RIVER ROUTE 68 Washington Williamsport,Williams ##port Washington MD MA ##R ##Y ##LA ##ND,HIGHWAYS MARYLAND MD Williamsport Washington,At 646 AM Williamsport Washington Co MD DEPT OF HIGHWAYS reports FLOOD MARYLAND ROUTE 68 FLOODED AND CLOSED DUE TO BACKWATER FLOODING OF CONOCOCHEAGUE CREEK JUST UPSTREAM OF THE POTOMAC RIVER,0.7777777777777778
73,"Weekend Flooding Closes Roads in Virginia, Maryland; State of Emergency in 8 West Virginia Counties - The Weather Channel",Maryland Virginia West Virginia,Virginia Maryland West Virginia,Virginia Maryland,Weekend Flooding Closes Roads in Virginia Maryland State of Emergency in 8 West Virginia Counties   The Weather Channel,0.75
74,The aR team has been in touch with the ground team in Ellicot City(and surrounding area) who has experienced extensive flooding. We are ACTivating a team. Stay tuned for reACTion news and how you can help! You got this Maryland! ὊA,Ellicot Maryland,El ##lic ##ot City Maryland,Ellicot Cityand Maryland,The aR team has been in touch with the ground team in Ellicot Cityand surrounding area who has experienced extensive flooding We are ACTivating a team Stay tuned for reACTion news and how you can help You got this Maryland ὊA,0.5
75,"RT @anadoluagency: Mayor of Rafina, #Greece says death toll from wildfire near capital Athens has topped 60",Athens Greece,Ra ##fin ##a Greece Athens,Athens Rafina Greece,RT Mayor of Rafina Greece says death toll from wildfire near capital Athens has topped 60,0.5
