tweet_id,text,location_mentions,text_transformed
ID_1023305338672611328,We are deeply saddened by the loss of more than 50 people in the forest fires in the Eastern Attica region of Greece. We extend our deepest condolences to the Greek people and Greek government. Our prayers and thoughts are with the families affected from the fire.,Greece=>COUNTRY,we be deeply sadden by the loss of more than 50 person in the forest fire in the eastern attica region of greece we extend our deep condolence to the greek person and greek government our prayer and thought be with the family affect from the fire
ID_1022047647010631680,Greek Orthodox Church could think of other people for a change and donate some money to the victims of the Athensfires,Greek Orthodox Church=>HUMAN-MADE POINT-OF-INTEREST,greek orthodox church could think of other person for a change and donate some money to the victim of the athensfires
ID_1023484563799126016,Greek firefighters join public outcry at woeful response to lethal wildfires and support the argument of  that austerity enlarged the scale of this disaster:     Greece,Greece=>COUNTRY,greek firefighter join public outcry at woeful response to lethal wildfire and support the argument of that austerity enlarge the scale of this disaster greece
ID_1022586744837943296,2nd DAY crypto donations results for the Victims of Greek Wildfires (paypal and cryptocurrencies). Keep donating!  $BTC $ETH Greece wildfires donation victims,Greece=>COUNTRY,2nd day crypto donation result for the victim of greek wildfire ( paypal and cryptocurrency ) keep donate ! $ btc $ eth greece wildfire donation victim
ID_1024253442049683456,Send Aid to Wildfire-Ravaged Greece,Greece=>COUNTRY,send aid to wildfire ravaged greece
ID_1022451562080333824,RT : Death toll from Greecefires rises to 83 following death of burns patient in hospital,,rt death toll from greecefires rise to 83 follow death of burn patient in hospital
ID_1022882396549472256,"Financial Mirror dot com  CYPRUS: Over 1,000 aid boxes for Greece fire victims in Tsunami of love",Greece=>COUNTRY,financial mirror dot com cyprus over 1000 aid box for greece fire victim in tsunami of love
ID_1021772564706811904,plse   74 people lost their lives and 150 got injured,,plse 74 person lose their life and 150 get injure
ID_1021770980576952321,Greece wildfires: 60 dead in holiday area - BBC News rescueservices Athens localmedia Mati,Greece=>COUNTRY * Athens=>CITY * Mati=>CITY,greece wildfire 60 dead in holiday area bbc news rescueservice athens localmedia mati
ID_1022143936620650497,"Just created a quick infodump about the wildfires in Greece, in plain English. Not necessary to donate, but please RT. Hope someone stranded in or around the area finds it useful.    elearning articulate  Mati",Greece=>COUNTRY,just create a quick infodump about the wildfire in greece in plain english not necessary to donate but please rt hope someone strand in or around the area find it useful elearning articulate mati
ID_1022132884063379456,A fully comprehensive update of all volunteering options for victims of the recent wildfires that devastated Athens by Ethelon (site is in Greek),Athens=>CITY,a fully comprehensive update of all volunteering option for victim of the recent wildfire that devastate athens by ethelon ( site be in greek )
ID_1021902227169046529,Tragedy in Greece as wildfires kill dozens. Pray 1) for the people affected 2) for climate action on behalf of our children.,Greece=>COUNTRY,tragedy in greece as wildfire kill dozen pray 1 ) for the person affect 2 ) for climate action on behalf of our child
ID_1025733209106145280,Bill Furnaro Talks to TNH about Facebook Fundraiser for Wildfire Victims  Greece news,Greece=>COUNTRY,bill furnaro talks to tnh about facebook fundraiser for wildfire victim greece news
ID_1021728080820363266,Greek Prime Minister declares three days of mourning for 60 people killed in wildfires near Athens,Athens=>CITY,greek prime minister declare three day of mourn for 60 person kill in wildfire near athens
ID_1021714337235390464,"Wildfire kills at least 60 near Athens, families embrace as flames close in  Greece news",Athens=>CITY * Greece=>COUNTRY,wildfire kill at least 60 near athens family embrace as flame close in greece news
ID_1022473205968252928,9 Danger of Flooding is the New Threat in Fire Stricken Greece,Greece=>COUNTRY,9 danger of flooding be the new threat in fire stricken greece
ID_1021777123982360576,"More than 50 people dead in greece after wildfires outside athens This is not a natural catastrophe or accident. This is the result of austerity on firemen, natures exploitation by state and capital, the prioritization of financial debt against humans by all greek govts",greece=>COUNTRY,more than 50 person dead in greece after wildfire outside athens this be not a natural catastrophe or accident this be the result of austerity on firemen nature exploitation by state and capital the prioritization of financial debt against human by all greek govt
ID_1023133732281229317,LIers and Hempstead officials joining forces to help victims of GREEK wildfires  Greece news,Greece=>COUNTRY,lier and hempstead official join force to help victim of greek wildfire greece news
ID_1022209811969187840,Looking for a way to help fire survivors in Greece? Here are 4 ways you can help including making a donation to . Your support will help us respond by providing immediate basic needs.   IOCCRelief,Greece=>COUNTRY,look for a way to help fire survivor in greece ? here be 4 way you can help include make a donation to your support will help we respond by provide immediate basic need ioccrelief
ID_1022481749647998978,The mayor of the municipality in Greece where more than 80 people have died in wildfires has admitted that mistakes and the scale of the fire was underestimated,Greece=>COUNTRY,the mayor of the municipality in greece where more than 80 person have die in wildfire have admit that mistake and the scale of the fire be underestimate
ID_1021853332179169281,"AA New  activation [EMSR300]: Forest Fires in Attika, Greece 7  Wildfire in Greece - Copernicus CEMS  EUCivPro",Attika=>CITY * Greece=>COUNTRY * Greece=>COUNTRY,aa new activation [ emsr300 ] forest fires in attika greece 7 wildfire in greece copernicus cems eucivpro
ID_1022427934303428608,RT : Nearly half of inspected houses in areas affected by Greecefires found uninhabitable,,rt nearly half of inspect house in area affect by greecefires find uninhabitable
ID_1021767225185845248,"According to the Fire Department, the death toll in the wildfire near Athens has reached 74.",Athens=>CITY,accord to the fire department the death toll in the wildfire near athens have reach 74
ID_1022151113657774083,Wildfires in Greece: Albanian government offers 100 thousand euros in aid Albania Balkans  Greecefires 4Greece Mati,Greece=>COUNTRY * Albanian=>COUNTRY * Albania=>COUNTRY,wildfire in greece albanian government offer 100 thousand euro in aid albania balkans greecefires 4 greece mati
ID_1022127997153890306,:( Cars turned to molten metal as Greek wildfires wipe villages off the map,Greek=>COUNTRY,:( car turn to molten metal as greek wildfire wipe village off the map
ID_1024023673294991360,Great piece by  on how Greeces migrants rescued locals during the Greecefires. The rest of Europe might want to think about Atticas example before shutting its doors to those in need of help. One day they might be helping you.  migrants,Europe=>CONTINENT,great piece by on how greeces migrant rescue local during the greecefires the rest of europe might want to think about atticas example before shut its door to that in need of help one day they might be help you migrant
ID_1022129791682703361,Twins go missing in rescue attempt. Read my latest  greece,greece=>COUNTRY,twin go miss in rescue attempt read my late greece
ID_1022821515480510464,Charred Remains Making Greek Fire Victims Identification Difficult  Greece news,Greece=>COUNTRY,charred remains make greek fire victim identification difficult greece news
ID_1026885826121281536,Greek Minister Thanks Diaspora for Greece Wildfire Relief Campaigns  Greece news,Greece=>COUNTRY * Greece=>COUNTRY,greek minister thanks diaspora for greece wildfire relief campaigns greece news
ID_1021729048920301569,"UPDATE 50 people die and 170 are reported injured in wildfires ravaging Athens region, as Greek authorities fear the toll may rise further",Athens=>CITY * Greek=>COUNTRY,update 50 person die and 170 be report injure in wildfire ravage athens region as greek authority fear the toll may rise further
ID_1021855716750106624,"A close friend of mine in Athens just told me a childhood friend of hers, his wife, 2 children & mother all died in last nights wildfires. Seriously this is how tragic this situation is. Greecefires  Ellada Greece",Athens=>CITY * Greece=>COUNTRY,a close friend of mine in athens just tell i a childhood friend of hers his wife 2 child & mother all die in last night wildfire seriously this be how tragic this situation be greecefires ellada greece
ID_1022229379798257669,"Greece  - list of veterinarians in Attica, Preveza, Corinthia offering free services for affected animals:   disasteranimals",Greece=>COUNTRY * Attica=>CITY * Preveza=>CITY * Corinthia=>CITY,greece list of veterinarian in attica preveza corinthia offer free service for affect animal disasteranimal
ID_1026125061168738304,"Cyprus Hoteliers Donate 100,000 to Attica Fire Relief Efforts   Greecefires Greece wildfires",Cyprus=>COUNTRY * Attica=>CITY * Greece=>COUNTRY,cyprus hotelier donate 100000 to attica fire relief effort greecefires greece wildfire
ID_1022036349451476992,"Wildfires raged through seaside resorts near the Greek capital of Athens, torching homes, cars and forests as they killed at least 74 people, authorities said.",Athens=>CITY,wildfire rage through seaside resort near the greek capital of athens torch home car and forest as they kill at least 74 person authority say
ID_1022956933953871872,You should donate at this:  Its for the houses-victims that were burnt during a fire in Greece,Greece=>COUNTRY,you should donate at this its for the house victim that be burn during a fire in greece
ID_1027469641021644801,LETTER: Many donated to help Greek fire relief effort  Greece news,Greece=>COUNTRY,letter many donate to help greek fire relief effort greece news
ID_1021985537597616129,Rescuers in Greece continue to search charred homes and burned-out cars as the toll from some of the worst wildfires this century is expected to rise from at least 74 dead so far,Greece=>COUNTRY,rescuer in greece continue to search char home and burn out car as the toll from some of the bad wildfire this century be expect to rise from at least 74 dead so far
ID_1022481151561216000,The 6th Fleet   assists fire victims of Attica GO  USSMountWhitney US6thFleet  C7,Attica=>CITY,the 6th fleet assist fire victim of attica go ussmountwhitney us6thfleet c7
ID_1021787303906299904,Open your home to a displaced neighbour! We have opened emergency tool for people who have been displaced by the wildfires - help them find a home for the next few days. greecewildfires airbnbopenhomes,,open your home to a displace neighbour ! we have open emergency tool for person who have be displace by the wildfire help they find a home for the next few day greecewildfire airbnbopenhome
ID_1022021863030042624,"Cyprus, Italy, Romania, Spain have offered assistance via EUCivPro. Thats EU! Thank you!",Cyprus=>COUNTRY * Italy=>COUNTRY * Romania=>COUNTRY * Spain=>COUNTRY * EU=>COUNTRY,cyprus italy romania spain have offer assistance via eucivpro thats eu ! thank you !
ID_1022924713339826177,Volunteer divers search the sea for Greek fire victims  Greece news,Greece=>COUNTRY,volunteer diver search the sea for greek fire victim greece news
ID_1022208025409585154,"We got into the water and stayed there for about five hours until the boats came to pick us up. We were at the beach with about 250, 300 people. greece",greece=>COUNTRY,we get into the water and stay there for about five hour until the boat come to pick we up we be at the beach with about 250 300 person greece
ID_1021804788026146817,"RT : When you need where you want im ready for help , Yunanistan Greece",Yunanistan=>COUNTRY * Greece=>COUNTRY,rt when you need where you want i ready for help yunanistan greece
ID_1023274564778897408,actforgreece - Donate to the  GoFundMe campaign to help local communities heal after the wildfires that ripped through Attica.  Socialimpact community Local Greecewildfires Greece GS Athens Wildfire Rebuild Campaign,Attica=>CITY * Greece=>COUNTRY * Athens=>STATE,actforgreece donate to the gofundme campaign to help local community heal after the wildfire that rip through attica socialimpact community local greecewildfires greece gs athens wildfire rebuild campaign
ID_1022711090969542657,RT : Nobody talks about what happened in Greece? Around 100 people died. Killed by fire,Greece=>COUNTRY,rt nobody talk about what happen in greece ? around 100 person die kill by fire
ID_1021861819772751873,The latest on the deadly Greece wildfires - Greek fires by the numbers: 500 firefighters battle 5 fires,Greece=>COUNTRY,the late on the deadly greece wildfire greek fire by the number 500 firefighter battle 5 fire
ID_1022965752050143232,2222 The twin girls died in their arms with their grandfather and grandmother.  GREECE wildfires NEWS,GREECE=>COUNTRY,2222 the twin girl die in their arm with their grandfather and grandmother greece wildfire news
ID_1021876850082107392,Thank you so much Hundreds of people are suffering here..But if anyone wants to help the victims theres a GoFundMe to help raise money that will then be transfered to the greek bank. Thanks to everybody!FC Greecefires,,thank you so much hundred of person be suffer here .. but if anyone want to help the victim there a gofundme to help raise money that will then be transfer to the greek bank thanks to everybody ! fc greecefires
ID_1021902312061759489,"A collection of essential items will be taking place at the centre in aid of the victims of the wildfires in Greece. Clothes, water, toothpaste and other items are gratefully received.",Greece=>COUNTRY,a collection of essential item will be take place at the centre in aid of the victim of the wildfire in greece clothes water toothpaste and other item be gratefully receive
ID_1023196537797705729,The Heaviest Moment: GREEK PM Assumes Responsibility for Deadly Wildfires  Greece news,Greece=>COUNTRY,the heavy moment greek p.m. assume responsibility for deadly wildfires greece news
ID_1025410059235467270,Citizen Protection Toskas resigns after last weeks fires that killed more than 87 greece greecewildfires,greece=>COUNTRY,citizen protection toskas resign after last week fire that kill more than 87 greece greecewildfire
ID_1022124477830889474,This familys home has been destroyed as wildfires continue to rage across Athens Greecefires Read more as Greece deals with its deadliest wildfires in decades:,Athens=>CITY * Greece=>COUNTRY,this family home have be destroy as wildfire continue to rage across athens greecefires read more as greece deal with its deadly wildfire in decade
ID_1023346193022312458,"Dimitris, 13 years old: One more child missing in Athens fires confirmed dead  One more child missing in the Athens wildfires has been confirmed dead on Saturday: 13-year-old Dimitris Alexpoulos. With every DNA match the tiny spa",Athens=>CITY * Athens=>CITY,dimitris 13 year old one more child missing in athens fire confirm dead one more child missing in the athens wildfire have be confirm dead on saturday 13 year old dimitris alexpoulos with every dna match the tiny spa
ID_1028790880956633088,Greek prime minister accepts responsibility for high death toll from wildfire  Greece news,Greece=>COUNTRY,greek prime minister accept responsibility for high death toll from wildfire greece news
ID_1021713667673518080,UPDATE: Wildfires near Athens have killed at least 20 people and injured 69. It is Greeces deadliest fire disaster in 11 years.,Athens=>CITY * Greeces=>COUNTRY,update wildfire near athens have kill at least 20 person and injure 69 it be greeces deadly fire disaster in 11 year
ID_1025921960788860928,"Fire Risk warning Aug 4-5: Attica, Aegean islands & other regions  Greece news",Attica=>CITY * Aegean islands=>ISLAND * Greece=>COUNTRY,fire risk warning aug 4 5 attica aegean island & other region greece news
ID_1029178944917057541,"One more fire victim dies in hospital, death toll increases to 95  Death toll in Athens wildfires rose to 95 on Monday after one more fire victim died in hospital in Athens. The latest victim is a 63-year-old man in KAT hospital",Athens=>CITY * Athens=>CITY * KAT hospital=>HUMAN-MADE POINT-OF-INTEREST,one more fire victim die in hospital death toll increase to 95 death toll in athens wildfire rise to 95 on monday after one more fire victim die in hospital in athens the late victim be a 63 year old man in kat hospital
ID_1022036436260978688,Greece Wildfire Relief Campaign,Greece=>COUNTRY,greece wildfire relief campaign
ID_1024184121537585158,Body with burns recovered near islet of Fleves between Glyfada-Aegina in south Athens. Highly possibly victim of  Death toll would be 93 people,Fleves=>ISLAND * Glyfada=>OTHER LOCATIONS * Athens=>CITY,body with burn recover near islet of fleves between glyfada aegina in south athens highly possibly victim of death toll would be 93 person
ID_1022013285053476864,Local authorities in the fire-stricken area of Rafina have been overwhelmed by private donations. People affected by Greecefires can get medicine and other essentials from the former US base in Nea Makri. Mati is still without water and electricity,Rafina=>CITY * US=>COUNTRY * Nea Makri=>CITY,local authority in the fire stricken area of rafina have be overwhelm by private donation person affect by greecefires can get medicine and other essential from the former us base in nea makri mati be still without water and electricity
ID_1021740734867820545,Athens Wildfires: All energy and efforts should be directed towards relief and volunteering. We found this useful information on how YOU can help fellow citizens in need. The post provides info in English & Greek.,,athens wildfires all energy and effort should be direct towards relief and volunteering we find this useful information on how you can help fellow citizen in need the post provide info in english & greek
ID_1022136218186858496,Please RT - information people stranded might find useful  Athensfires Greece   elearning articulate  Mati,Greece=>COUNTRY,please rt information person strand might find useful athensfires greece elearning articulate mati
ID_1021792234398785537,The wildfires around Athens are the deadliest to hit Greece in more than a decade. Whole coastal areas have been devastated and the death toll could rise as rescuers search charred remains of homes and cars via   heat heatwave 2018,Athens=>CITY * Greece=>COUNTRY,the wildfire around athens be the deadly to hit greece in more than a decade whole coastal area have be devastate and the death toll could rise as rescuer search char remains of home and car via heat heatwave 2018
ID_1021859837418909698,A terrible day for Greece. At least 74 people killed in the countrys deadliest wildfires. Residents recounted horror scenes they likened to the destruction of Pompeii. 7 by tireless  colleagues Alkis Konstantinidis & Costas Baltas,Greece=>COUNTRY * Pompeii=>CITY,a terrible day for greece at least 74 person kill in the country deadly wildfire resident recount horror scene they liken to the destruction of pompeii 7 by tireless colleague alkis konstantinidis & costas baltas
ID_1022437813978062848,This  is a cryptocurrency donation website for the victims of the recent catastrophic fire in Greece. Im just a supporter more,Greece=>COUNTRY,this be a cryptocurrency donation website for the victim of the recent catastrophic fire in greece i be just a supporter more
ID_1021757212388208640,Bodies found huddled and hugging in deadly GREECE wildfires; at least 50 people dead  Greece news,GREECE=>COUNTRY * Greece=>COUNTRY,body find huddle and hug in deadly greece wildfire at least 50 person dead greece news
ID_1022360917877698561,Brian always put others before himself - Tributes paid as body of tragic groom found in wake of Greece wildfires,Greece=>COUNTRY,brian always put other before himself tribute pay as body of tragic groom find in wake of greece wildfire
ID_1023001120153784320,"The body count continues to rise in the aftermath of Greeces wildfires this week, and so does criticism of the governments response",,the body count continue to rise in the aftermath of greeces wildfire this week and so do criticism of the government response
ID_1024906665227964416,The fire in Athens Greece unfortunately killed 90 people and distroyed 3000 houses.,Athens=>COUNTRY * Greece=>COUNTRY,the fire in athens greece unfortunately kill 90 person and distroy 3000 house
ID_1022745289323499520,RT : A renowned Australian plastic surgeon is heading to Greece to help fire victims:,Greece=>COUNTRY,rt a renowned australian plastic surgeon be head to greece to help fire victim
ID_1021858773328166912,RT : Greece wildfires: Families left homeless as village of Mati is destroyed,Greece=>COUNTRY * Mati=>CITY,rt greece wildfire family leave homeless as village of mati be destroy
ID_1022519772435685380,"Rescuers search for victims as Greece wildfire toll hits 81  BorneoPost Online | Borneo , Malaysia, Sarawak Daily News",Greece=>COUNTRY * Borneo=>STATE * Malaysia=>COUNTRY * Sarawak=>COUNTRY,rescuer search for victim as greece wildfire toll hit 81 borneopost online | borneo malaysia sarawak daily news
ID_1022397182291402752,"RT : Public anger grows in Greece over wildfires, death toll at 81 and counting",Greece=>COUNTRY,rt public anger grow in greece over wildfire death toll at 81 and counting
ID_1021781927479717890,74 dead at the moment :( 187 injured :(   Greecefires,,74 dead at the moment :( 187 injure :( greecefire
ID_1021760383068123138,The death toll is now at 60 for a wildfire in Greece. The firemen denounce how 25% of the anti-fire trucks are out of use because of a lack of funds. This is how the mother of Europe has been reduced by EU austerity: a country that cant even pay for basic rescue services.,Greece=>COUNTRY * Europe=>CONTINENT,the death toll be now at 60 for a wildfire in greece the firemen denounce how 25 % of the anti-fire truck be out of use because of a lack of fund this be how the mother of europe have be reduce by eu austerity a country that can not even pay for basic rescue service
ID_1022438370444824576,Call for helping and assisting for the victims of the huge wildfire that occurred in Greece. Please share and retweet.,Greece=>COUNTRY,call for help and assist for the victim of the huge wildfire that occur in greece please share and retweet
ID_1022331216069107712,the region of Mati was destroyed in minutes. minutes. it doesnt exist anymore. there was no warning. some who tried getting to the beach got trapped on the cliffs or they drowned after swimming for 5 hours trying to get away from the smoke and the exploding debris. Greecefires,Mati=>CITY,the region of mati be destroy in minute minute it do not exist anymore there be no warning some who try get to the beach get trap on the cliff or they drown after swim for 5 hour try to get away from the smoke and the explode debris greecefire
ID_1022370266029150209,The death toll from Greeces horror wildfires has risen above 80 as rescue crews search charred homes and cars for those still missing.  Greece 7News,Greece=>COUNTRY,the death toll from greeces horror wildfire have rise above 80 as rescue crew search char home and car for that still miss greece 7news
ID_1022584826828935169,Greece wildfire that killed 82 people was started by arson,Greece=>COUNTRY,greece wildfire that kill 82 person be start by arson
ID_1023864787992829954,ANIMA is Greeces foremost wildlife rescue org. We can only imagine what the past week has been like for them attending to the victims of the Attica fires. The team relies on volunteers like Suzanne who was called to help this sweet blackbird. pennymarathon Greecefires,Greece=>COUNTRY * Attica=>OTHER LOCATIONS,anima be greeces foremost wildlife rescue org we can only imagine what the past week have be like for they attend to the victim of the attica fire the team rely on volunteer like suzanne who be call to help this sweet blackbird pennymarathon greecefires
ID_1022042333238439936,"Greece Fire The fires have claimed 79 lives in Greece and the death toll is expected to climb, as many are heavily injured or missing. The Greek Red Cross has opened a bank account for donations from individuals and businesses who wish to help the fi",Greece=>COUNTRY * Greece=>COUNTRY,greece fire the fire have claim 79 life in greece and the death toll be expect to climb as many be heavily injure or missing the greek red cross have open a bank account for donation from individual and business who wish to help the fi
ID_1021789419785867264,Mr  Greece is in desperate need of help. Cyprus on standby for crew of 60 to depart for Athens Athensfires,Greece=>COUNTRY * Cyprus=>COUNTRY * Athens=>CITY,mr greece be in desperate need of help cyprus on standby for crew of 60 to depart for athens athensfires
ID_1026012401790054400,Australian firefighters have arrived in Greece and are working with the Greek Fire Brigade on the ground to survey sites at Mati and assess the impact of the fires.,Australian=>COUNTRY * Greece=>COUNTRY * Mati=>CITY,australian firefighter have arrive in greece and be work with the greek fire brigade on the ground to survey site at mati and assess the impact of the fire
ID_1021877515537793025,Yunanistan prayforgreece  Please pray for us. They situation in Greece is getting worse . More than 70 people have died more than 180 are injured and a lot of people have gone missing. FD,Yunanistan=>COUNTRY * Greece=>COUNTRY,yunanistan prayforgreece please pray for we they situation in greece be get bad more than 70 person have die more than 180 be injure and a lot of person have go missing fd
ID_1021754247640231936,This is a sad day for Greece with more than 50 people dead in fire and many more injured. Attica,Greece=>COUNTRY,this be a sad day for greece with more than 50 person dead in fire and many more injure attica
ID_1022027327872675841,RT : Greek fire brigade says the number of people who have been killed in wildfires near Athens has risen to 79,Athens=>CITY,rt greek fire brigade say the number of person who have be kill in wildfire near athens have rise to 79
ID_1022754728139284483,Death toll from Attica wildfires at 84; political parties seek to apportion blame Greece   Greecefires Balkans,Attica=>CITY * Greece=>COUNTRY,death toll from attica wildfire at 84 political party seek to apportion blame greece greecefires balkans
ID_1021733998513545217,It brakes my heart to see my country like this. More than 60 dead and 176 injured,,it brake my heart to see my country like this more than 60 dead and 176 injure
ID_1021738373663387648,"A 13 year old girl, being burned alive,fell to her death from a cliff.Mothers and fathers,holding their children,are burned to ashes and their bodies were found embraced to eternity. Over 50 people dead, with many more missing. The reason? Arsons,destroying",,a 13 year old girl be burn alive fall to her death from a cliff mother and father hold their child be burn to ash and their body be find embrace to eternity over 50 person dead with many more missing the reason ? arson destroy
ID_1030472064019386368,GREEK Mums and Bubs fundraiser to support Attica fire victims  Greece news,Attica=>CITY * Greece=>COUNTRY,greek mums and bubs fundraiser to support attica fire victim greece news
ID_1022248887757819905,"It was paradise here, said Christos, a homeowner in Greece and a survivor of the huge wildfires around Athens which have claimed the lives of at least 79 people",Greece=>COUNTRY * Athens=>CITY,it be paradise here say christos a homeowner in greece and a survivor of the huge wildfire around athens which have claim the life of at least 79 person
ID_1021861695483011072,"RT : The victims of the Athens wildfires need support, please consider this relief campaign by HALC  .",Athens=>CITY,rt the victim of the athens wildfire need support please consider this relief campaign by halc
ID_1022177831059632129,AHI calls for donations to help Greeces wildfire victims | News,Greece=>COUNTRY,ahi call for donation to help greeces wildfire victim | news
ID_1024607100620730369,The political gloves have come off in Greece amid a deepening row over the governments response to the worst wildfires in recent history. More than 90 people died after blazes gripped the Attica region last week.,Greece=>COUNTRY * Attica=>CITY,the political glove have come off in greece amid a deepening row over the government response to the bad wildfire in recent history more than 90 person die after blaze grip the attica region last week
ID_1022557487386509313,"Greek government believes arson was behind Greecefires that killed more than 80 people near Athens. There is more than strong indications, there is evidence Greece Civil Protection Minister Nikos Toskas just told reporters",Athens=>STATE * Greece=>COUNTRY,greek government believe arson be behind greecefires that kill more than 80 person near athens there be more than strong indication there be evidence greece civil protection minister nikos toskas just tell reporter
ID_1028866355137794048,Greek diaspora from US to Australia rallies to help wildfire victims  Greece news,US=>COUNTRY * Australia=>COUNTRY * Greece=>COUNTRY,greek diaspora from us to australia rally to help wildfire victim greece news
ID_1021828877981822976,RT : Death toll rises to 24 as huge wildfire sweeps through Athens holiday resorts,Athens=>CITY,rt death toll rise to 24 as huge wildfire sweep through athens holiday resort
ID_1021874027227430912,"Horrible news about Athens. At least 50 dead in Greek seaside wildfires, including 20 huddled near Athens beach. Cannot imagine how it would feel to stand to lose your home, your possessions, loved ones",Athens=>CITY * Athens beach=>NATURAL POINT-OF-INTEREST,horrible news about athens at least 50 dead in greek seaside wildfire include 20 huddle near athens beach can not imagine how it would feel to stand to lose your home your possession love one
ID_1023474610233331712,"RT : As the death toll from Greeces wildfires rises to 88, families begin to bury the victims",Greeces=>COUNTRY,rt as the death toll from greeces wildfire rise to 88 family begin to bury the victim
ID_1024618176590618624,Al Jazeera - Meet the Egyptian fisherman who saved 23 Greeks and four dogs from the sea as deadly wildfires gripped a coastal village   Greece,Greece=>COUNTRY,al jazeera meet the egyptian fisherman who save 23 greek and four dog from the sea as deadly wildfire grip a coastal village greece
ID_1021711486991978496,"Our thoughts are with the victims of the devastating wildfires in Sweden, Latvia and especially Greece that have claimed over 50 deaths. We are grateful and proud of all fire fighters and rescue forces who help in European solidarity to alleviate distress and suffering.",Sweden=>COUNTRY * Latvia=>COUNTRY * Greece=>COUNTRY * European=>CONTINENT,our thought be with the victim of the devastating wildfire in sweden latvia and especially greece that have claim over 50 death we be grateful and proud of all fire fighter and rescue force who help in european solidarity to alleviate distress and suffering
ID_1021730563248582656,"Devastated by the deaths in the fires here in Greece. Wont be tweeting my usual stuff or any of my photos today, but will try to keep followers informed about whats going on here. Athens is 28 km away, so were safe. Greecefires",Greece=>COUNTRY * Athens=>CITY,devastate by the death in the fire here in greece woult be tweet my usual stuff or any of my photo today but will try to keep follower inform about whats go on here athens be 28 kilometer away so be safe greecefire
ID_1023894632055431168,"Carr Fire in California Claims Another Victim, Bringing Death Toll to 6. . We in Athens feel the pain of Californians affected by these catastrophic fires. Greecefires",California=>STATE * Athens=>CITY,carr fire in california claim another victim bring death toll to 6 we in athens feel the pain of californian affect by this catastrophic fire greecefire
ID_1021729014048849920,UPDATE At least 20 people die and more than 100 are injured as wildfires tear through woodland and villages around Athens,Athens=>CITY,update at least 20 person die and more than 100 be injure as wildfire tear through woodland and village around athens
ID_1022538299364270080,Seajets to Support Attica Fire Victims with Funds  Greecewildfires wildfires travel ttot Greece,Attica=>CITY * Greece=>COUNTRY,seajet to support attica fire victim with fund greecewildfires wildfire travel ttot greece
ID_1021705361517146112,1 offers aid 2 7 as devastating fire5 rage near Athens Our thoughts & prayers r w/ our Greek friends Greecefires,Athens=>STATE * Greek=>COUNTRY,1 offer aid 2 7 as devastating fire5 rage near athens our thought & prayer be with our greek friend greecefires
